Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CERAMIC CAKE STAND + HANGING CAKES,8,8.5,68.0,2010,December,Friday,9 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Friday,9 AM,Weekday
JAM JAR WITH PINK LID,12,0.85,10.2,2010,December,Friday,9 AM,Weekday
MINI CAKE STAND WITH HANGING CAKES,8,1.45,11.6,2010,December,Friday,9 AM,Weekday
OFFICE MUG WARMER PINK,6,2.95,17.7,2010,December,Friday,9 AM,Weekday
OFFICE MUG WARMER POLKADOT,6,2.95,17.7,2010,December,Friday,9 AM,Weekday
POSTAGE,3,40.0,120.0,2010,December,Friday,9 AM,Weekday
SET3 BOOK BOX GREEN GINGHAM FLOWER,4,4.25,17.0,2010,December,Friday,9 AM,Weekday
CHARLOTTE BAG PINK POLKADOT,10,0.85,8.5,2011,February,Tuesday,1 PM,Weekday
FAWN BLUE HOT WATER BOTTLE,6,2.95,17.7,2011,February,Tuesday,1 PM,Weekday
JUMBO BAG OWLS,10,1.95,19.5,2011,February,Tuesday,1 PM,Weekday
JUMBO BAG RED RETROSPOT,10,1.95,19.5,2011,February,Tuesday,1 PM,Weekday
JUMBO BAG WOODLAND ANIMALS,20,1.95,39.0,2011,February,Tuesday,1 PM,Weekday
JUMBO STORAGE BAG SUKI,20,1.95,39.0,2011,February,Tuesday,1 PM,Weekday
LUNCH BAG CARS BLUE,20,1.65,33.0,2011,February,Tuesday,1 PM,Weekday
LUNCH BAG WOODLAND,20,1.65,33.0,2011,February,Tuesday,1 PM,Weekday
PLASTERS IN TIN SKULLS,12,1.65,19.8,2011,February,Tuesday,1 PM,Weekday
POSTAGE,1,40.0,40.0,2011,February,Tuesday,1 PM,Weekday
RED RETROSPOT CHARLOTTE BAG,30,0.85,25.5,2011,February,Tuesday,1 PM,Weekday
ROUND SNACK BOXES SET OF 4 FRUITS,6,2.95,17.7,2011,February,Tuesday,1 PM,Weekday
ROUND SNACK BOXES SET OF4 WOODLAND,12,2.95,35.4,2011,February,Tuesday,1 PM,Weekday
WOODLAND CHARLOTTE BAG,20,0.85,17.0,2011,February,Tuesday,1 PM,Weekday
12 PENCILS SMALL TUBE RED RETROSPOT,48,0.65,31.2,2011,February,Wednesday,2 PM,Weekday
12 PENCILS SMALL TUBE SKULL,24,0.65,15.6,2011,February,Wednesday,2 PM,Weekday
BROCADE RING PURSE,36,0.21,7.56,2011,February,Wednesday,2 PM,Weekday
PLASTERS IN TIN CIRCUS PARADE,12,1.65,19.8,2011,February,Wednesday,2 PM,Weekday
PLASTERS IN TIN SPACEBOY,12,1.65,19.8,2011,February,Wednesday,2 PM,Weekday
PLASTERS IN TIN VINTAGE PAISLEY,12,1.65,19.8,2011,February,Wednesday,2 PM,Weekday
POSTAGE,1,40.0,40.0,2011,February,Wednesday,2 PM,Weekday
ASSORTED COLOUR BIRD ORNAMENT,16,1.69,27.04,2011,March,Thursday,4 PM,Weekday
PLASTERS IN TIN CIRCUS PARADE,24,1.65,39.6,2011,March,Thursday,4 PM,Weekday
POSTAGE,1,40.0,40.0,2011,March,Thursday,4 PM,Weekday
RETROSPOT TEA SET CERAMIC 11 PC,12,4.95,59.4,2011,March,Thursday,4 PM,Weekday
BREAD BIN DINER STYLE MINT,4,14.95,59.8,2011,March,Wednesday,12 PM,Weekday
BREAD BIN DINER STYLE RED,4,14.95,59.8,2011,March,Wednesday,12 PM,Weekday
GREEN REGENCY TEACUP AND SAUCER,6,2.95,17.7,2011,March,Wednesday,12 PM,Weekday
JAM JAR WITH GREEN LID,12,0.85,10.2,2011,March,Wednesday,12 PM,Weekday
JAM MAKING SET WITH JARS,12,3.75,45.0,2011,March,Wednesday,12 PM,Weekday
KINGS CHOICE BISCUIT TIN,12,3.75,45.0,2011,March,Wednesday,12 PM,Weekday
KINGS CHOICE MUG,24,1.25,30.0,2011,March,Wednesday,12 PM,Weekday
MINI JIGSAW PURDEY,240,0.36,86.4,2011,March,Wednesday,12 PM,Weekday
PACK OF 6 PANNETONE GIFT BOXES,144,2.1,302.4,2011,March,Wednesday,12 PM,Weekday
PACK OF 6 SWEETIE GIFT BOXES,144,2.1,302.4,2011,March,Wednesday,12 PM,Weekday
POSTAGE,9,40.0,360.0,2011,March,Wednesday,12 PM,Weekday
RETROSPOT TEA SET CERAMIC 11 PC,24,4.25,102.0,2011,March,Wednesday,12 PM,Weekday
ROSES REGENCY TEACUP AND SAUCER,6,2.95,17.7,2011,March,Wednesday,12 PM,Weekday
SET 12 KIDS COLOUR  CHALK STICKS,288,0.36,103.68,2011,March,Wednesday,12 PM,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2011,April,Tuesday,9 AM,Weekday
PARTY CONES CANDY ASSORTED,48,1.25,60.0,2011,April,Tuesday,9 AM,Weekday
PINK PARTY BAGS,24,2.1,50.4,2011,April,Tuesday,9 AM,Weekday
POSTAGE,1,40.0,40.0,2011,April,Tuesday,9 AM,Weekday
TEA TIME PARTY BUNTING,16,4.95,79.2,2011,April,Tuesday,9 AM,Weekday
