Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ALARM CLOCK BAKELIKE GREEN,12,3.75,45.0,2010,December,Wednesday,8 AM,Weekday
ALARM CLOCK BAKELIKE PINK,24,3.75,90.0,2010,December,Wednesday,8 AM,Weekday
ALARM CLOCK BAKELIKE RED,24,3.75,90.0,2010,December,Wednesday,8 AM,Weekday
CHARLOTTE BAG DOLLY GIRL DESIGN,20,0.85,17.0,2010,December,Wednesday,8 AM,Weekday
CIRCUS PARADE LUNCH BOX,24,1.95,46.8,2010,December,Wednesday,8 AM,Weekday
INFLATABLE POLITICAL GLOBE,48,0.85,40.8,2010,December,Wednesday,8 AM,Weekday
LUNCH BOX I LOVE LONDON,24,1.95,46.8,2010,December,Wednesday,8 AM,Weekday
MINI JIGSAW CIRCUS PARADE,24,0.42,10.08,2010,December,Wednesday,8 AM,Weekday
MINI JIGSAW SPACEBOY,24,0.42,10.08,2010,December,Wednesday,8 AM,Weekday
MINI PAINT SET VINTAGE,36,0.65,23.4,2010,December,Wednesday,8 AM,Weekday
PANDA AND BUNNIES STICKER SHEET,12,0.85,10.2,2010,December,Wednesday,8 AM,Weekday
POSTAGE,3,18.0,54.0,2010,December,Wednesday,8 AM,Weekday
RED TOADSTOOL LED NIGHT LIGHT,24,1.65,39.6,2010,December,Wednesday,8 AM,Weekday
ROUND SNACK BOXES SET OF4 WOODLAND,24,2.95,70.8,2010,December,Wednesday,8 AM,Weekday
SET 2 TEA TOWELS I LOVE LONDON,24,2.95,70.8,2010,December,Wednesday,8 AM,Weekday
SET/2 RED RETROSPOT TEA TOWELS,18,2.95,53.1,2010,December,Wednesday,8 AM,Weekday
SPACEBOY LUNCH BOX,24,1.95,46.8,2010,December,Wednesday,8 AM,Weekday
STARS GIFT TAPE,24,0.65,15.6,2010,December,Wednesday,8 AM,Weekday
VINTAGE HEADS AND TAILS CARD GAME,24,1.25,30.0,2010,December,Wednesday,8 AM,Weekday
VINTAGE SEASIDE JIGSAW PUZZLES,12,3.75,45.0,2010,December,Wednesday,8 AM,Weekday
CHARLOTTE BAG DOLLY GIRL DESIGN,10,0.85,8.5,2010,December,Friday,9 AM,Weekday
MINI JIGSAW DOLLY GIRL,24,0.42,10.08,2010,December,Friday,9 AM,Weekday
