Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
12 EGG HOUSE PAINTED WOOD,4,12.75,51.0,2011,1,3,10,Weekday
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,0.55,13.2,2011,1,3,10,Weekday
BATH BUILDING BLOCK WORD,6,5.95,35.7,2011,1,3,10,Weekday
BEWARE OF THE CAT METAL SIGN,12,1.69,20.28,2011,1,3,10,Weekday
BISCUIT TIN VINTAGE RED,12,5.95,71.4,2011,1,3,10,Weekday
BREAD BIN DINER STYLE RED,4,14.95,59.8,2011,1,3,10,Weekday
BROCANTE COAT RACK,4,9.95,39.8,2011,1,3,10,Weekday
CALENDAR PAPER CUT DESIGN,6,2.95,17.7,2011,1,3,10,Weekday
CARD HOLDER GINGHAM HEART,12,2.55,30.6,2011,1,3,10,Weekday
CREAM SWEETHEART EGG HOLDER,8,4.95,39.6,2011,1,3,10,Weekday
CREAM SWEETHEART MINI CHEST,8,12.75,102.0,2011,1,3,10,Weekday
DOG BOWL CHASING BALL DESIGN,6,3.75,22.5,2011,1,3,10,Weekday
DOORMAT FANCY FONT HOME SWEET HOME,4,7.95,31.8,2011,1,3,10,Weekday
ENAMEL BLUE RIM COFFEE CONTAINER,6,2.1,12.6,2011,1,3,10,Weekday
FAMILY ALBUM WHITE PICTURE FRAME,4,8.5,34.0,2011,1,3,10,Weekday
FIRST AID TIN,12,3.25,39.0,2011,1,3,10,Weekday
FRIDGE MAGNETS US DINER ASSORTED,12,0.85,10.2,2011,1,3,10,Weekday
GARLAND WOODEN HAPPY EASTER,12,1.25,15.0,2011,1,3,10,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2011,1,3,10,Weekday
HOME BUILDING BLOCK WORD,6,5.95,35.7,2011,1,3,10,Weekday
ILLUSTRATED CAT BOWL,6,2.55,15.3,2011,1,3,10,Weekday
JAM MAKING SET WITH JARS,12,3.75,45.0,2011,1,3,10,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,1,3,10,Weekday
LAUNDRY 15C METAL SIGN,12,1.45,17.4,2011,1,3,10,Weekday
MA CAMPAGNE CUTLERY BOX,4,14.95,59.8,2011,1,3,10,Weekday
NO SINGING METAL SIGN,12,2.1,25.2,2011,1,3,10,Weekday
ORGANISER WOOD ANTIQUE WHITE,6,8.5,51.0,2011,1,3,10,Weekday
PARTY BUNTING,15,4.65,69.75,2011,1,3,10,Weekday
PHARMACIE FIRST AID TIN,12,6.75,81.0,2011,1,3,10,Weekday
REGENCY CAKESTAND 3 TIER,12,12.75,153.0,2011,1,3,10,Weekday
SALLE DE BAIN HOOK,12,1.25,15.0,2011,1,3,10,Weekday
SET 3 PAPER VINTAGE CHICK PAPER EGG,12,2.95,35.4,2011,1,3,10,Weekday
SET OF 3 CAKE TINS PANTRY DESIGN,12,4.95,59.4,2011,1,3,10,Weekday
SET OF 6 HERB TINS SKETCHBOOK,8,3.95,31.6,2011,1,3,10,Weekday
SET OF 6 SPICE TINS PANTRY DESIGN,12,3.95,47.4,2011,1,3,10,Weekday
SHOE SHINE BOX,4,9.95,39.8,2011,1,3,10,Weekday
TRAVEL SEWING KIT,10,1.65,16.5,2011,1,3,10,Weekday
VINTAGE CREAM CAT FOOD CONTAINER,2,6.35,12.7,2011,1,3,10,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,2,8.5,17.0,2011,1,3,10,Weekday
WASHROOM METAL SIGN,12,1.45,17.4,2011,1,3,10,Weekday
WHITE BROCANTE SOAP DISH,6,2.95,17.7,2011,1,3,10,Weekday
WOOD BLACK BOARD ANT WHITE FINISH,3,6.45,19.35,2011,1,3,10,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2011,1,3,10,Weekday
WOODEN PICTURE FRAME WHITE FINISH,6,2.55,15.3,2011,1,3,10,Weekday
WOODEN SKITTLES GARDEN SET,8,12.75,102.0,2011,1,3,10,Weekday
