Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HAND WARMER BIRD DESIGN,96,1.85,177.6,2010,December,Wednesday,11 AM,Weekday
POSTAGE,1,15.0,15.0,2010,December,Wednesday,11 AM,Weekday
200 RED + WHITE BENDY STRAWS,1,1.25,1.25,2010,December,Monday,10 AM,Weekday
CHARLOTTE BAG SUKI DESIGN,2,0.85,1.7,2010,December,Monday,10 AM,Weekday
FUNKY WASHING UP GLOVES ASSORTED,1,2.1,2.1,2010,December,Monday,10 AM,Weekday
JAM MAKING SET WITH JARS,1,4.25,4.25,2010,December,Monday,10 AM,Weekday
JUMBO STORAGE BAG SUKI,1,1.95,1.95,2010,December,Monday,10 AM,Weekday
PACK OF 12 PINK POLKADOT TISSUES,12,0.29,3.48,2010,December,Monday,10 AM,Weekday
PACK OF 12 WOODLAND TISSUES,12,0.29,3.48,2010,December,Monday,10 AM,Weekday
PACK OF 20 SPACEBOY NAPKINS,2,0.85,1.7,2010,December,Monday,10 AM,Weekday
PENCIL CASE LIFE IS BEAUTIFUL,1,2.95,2.95,2010,December,Monday,10 AM,Weekday
PINK PARTY BAGS,2,2.1,4.2,2010,December,Monday,10 AM,Weekday
POSTAGE,1,15.0,15.0,2010,December,Monday,10 AM,Weekday
RED RETROSPOT BIG BOWL,2,4.95,9.9,2010,December,Monday,10 AM,Weekday
RETROSPOT PARTY BAG + STICKER SET,2,1.65,3.3,2010,December,Monday,10 AM,Weekday
SET OF 3 CAKE TINS PANTRY DESIGN,2,4.95,9.9,2010,December,Monday,10 AM,Weekday
SET/10 IVORY POLKADOT PARTY CANDLES,2,1.25,2.5,2010,December,Monday,10 AM,Weekday
WOODLAND PARTY BAG + STICKER SET,2,1.65,3.3,2010,December,Monday,10 AM,Weekday
ASSORTED EASTER DECORATIONS  BELLS,288,1.06,305.28,2010,December,Tuesday,3 PM,Weekday
BLUE 3 PIECE POLKADOT CUTLERY SET,72,3.39,244.08,2010,December,Tuesday,3 PM,Weekday
CHARLOTTE BAG SUKI DESIGN,100,0.72,72.0,2010,December,Tuesday,3 PM,Weekday
CHILDRENS DOLLY GIRL MUG,192,1.45,278.4,2010,December,Tuesday,3 PM,Weekday
CLOTHES PEGS RETROSPOT PACK 24,144,1.25,180.0,2010,December,Tuesday,3 PM,Weekday
DOLLY HONEYCOMB GARLAND,192,0.65,124.8,2010,December,Tuesday,3 PM,Weekday
EASTER TIN BUNNY BOUQUET,108,1.45,156.6,2010,December,Tuesday,3 PM,Weekday
EASTER TIN KEEPSAKE,108,1.45,156.6,2010,December,Tuesday,3 PM,Weekday
FAWN BLUE HOT WATER BOTTLE,36,2.55,91.8,2010,December,Tuesday,3 PM,Weekday
FELT FARM ANIMAL RABBIT,96,0.42,40.32,2010,December,Tuesday,3 PM,Weekday
FELTCRAFT CUSHION BUTTERFLY,24,3.39,81.36,2010,December,Tuesday,3 PM,Weekday
FELTCRAFT CUSHION OWL,24,3.39,81.36,2010,December,Tuesday,3 PM,Weekday
FELTCRAFT CUSHION RABBIT,24,3.39,81.36,2010,December,Tuesday,3 PM,Weekday
FELTCRAFT DOLL MOLLY,48,2.55,122.4,2010,December,Tuesday,3 PM,Weekday
FELTCRAFT PRINCESS CHARLOTTE DOLL,48,3.39,162.72,2010,December,Tuesday,3 PM,Weekday
FELTCRAFT PRINCESS LOLA DOLL,48,3.39,162.72,2010,December,Tuesday,3 PM,Weekday
FELTCRAFT PRINCESS OLIVIA DOLL,48,3.39,162.72,2010,December,Tuesday,3 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,72,3.39,244.08,2010,December,Tuesday,3 PM,Weekday
HAND TOWEL PALE BLUE W FLOWERS,100,1.25,125.0,2010,December,Tuesday,3 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,100,1.25,125.0,2010,December,Tuesday,3 PM,Weekday
HAND WARMER BABUSHKA DESIGN,48,0.85,40.8,2010,December,Tuesday,3 PM,Weekday
JUMBO STORAGE BAG SKULLS,100,1.65,165.0,2010,December,Tuesday,3 PM,Weekday
LA PALMIERA TILE COASTER,96,0.42,40.32,2010,December,Tuesday,3 PM,Weekday
LUNCH BAG SPACEBOY DESIGN,200,1.45,290.0,2010,December,Tuesday,3 PM,Weekday
