Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BATH BUILDING BLOCK WORD,6,5.95,35.7,2011,1,1,13,Weekday
CANDLEHOLDER PINK HANGING HEART,6,2.95,17.7,2011,1,1,13,Weekday
CHILDRENS APRON SPACEBOY DESIGN,16,1.95,31.2,2011,1,1,13,Weekday
CUPCAKE LACE PAPER SET 6,24,1.95,46.8,2011,1,1,13,Weekday
DOORMAT RED RETROSPOT,10,6.75,67.5,2011,1,1,13,Weekday
DOORMAT UNION FLAG,10,6.75,67.5,2011,1,1,13,Weekday
GIN & TONIC DIET GREETING CARD,72,0.36,25.92,2011,1,1,13,Weekday
GREEN REGENCY TEACUP AND SAUCER,6,2.95,17.7,2011,1,1,13,Weekday
HOMEMADE JAM SCENTED CANDLES,24,1.45,34.8,2011,1,1,13,Weekday
JAM MAKING SET WITH JARS,12,3.75,45.0,2011,1,1,13,Weekday
JUMBO BAG RED RETROSPOT,10,1.95,19.5,2011,1,1,13,Weekday
LADIES & GENTLEMEN METAL SIGN,6,2.55,15.3,2011,1,1,13,Weekday
LOVE BUILDING BLOCK WORD,18,5.45,98.1,2011,1,1,13,Weekday
METAL SIGN TAKE IT OR LEAVE IT,6,2.95,17.7,2011,1,1,13,Weekday
MILK PAN PINK POLKADOT,4,3.75,15.0,2011,1,1,13,Weekday
MILK PAN RED RETROSPOT,4,3.75,15.0,2011,1,1,13,Weekday
PACK OF 6 SANDCASTLE FLAGS ASSORTED,12,0.85,10.2,2011,1,1,13,Weekday
PACK OF 60 DINOSAUR CAKE CASES,24,0.55,13.2,2011,1,1,13,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2011,1,1,13,Weekday
PACK OF 60 SPACEBOY CAKE CASES,24,0.55,13.2,2011,1,1,13,Weekday
PACK OF 72 RETROSPOT CAKE CASES,24,0.55,13.2,2011,1,1,13,Weekday
PAPER CHAIN KIT EMPIRE,18,2.95,53.1,2011,1,1,13,Weekday
PARTY PIZZA DISH BLUE POLKADOT,24,0.21,5.04,2011,1,1,13,Weekday
PARTY PIZZA DISH GREEN POLKADOT,24,0.21,5.04,2011,1,1,13,Weekday
PARTY PIZZA DISH PINK POLKADOT,24,0.21,5.04,2011,1,1,13,Weekday
PARTY PIZZA DISH RED RETROSPOT,24,0.21,5.04,2011,1,1,13,Weekday
PINK BLUE FELT CRAFT TRINKET BOX,48,1.25,60.0,2011,1,1,13,Weekday
PINK CREAM FELT CRAFT TRINKET BOX,48,1.25,60.0,2011,1,1,13,Weekday
PINK FLOWER CROCHET FOOD COVER,6,3.75,22.5,2011,1,1,13,Weekday
PINK POLKADOT CHILDRENS UMBRELLA,12,3.25,39.0,2011,1,1,13,Weekday
PLASTERS IN TIN SPACEBOY,12,1.65,19.8,2011,1,1,13,Weekday
PLASTERS IN TIN VINTAGE PAISLEY,24,1.65,39.6,2011,1,1,13,Weekday
PLEASE ONE PERSON METAL SIGN,12,2.1,25.2,2011,1,1,13,Weekday
POLKA DOT RAFFIA FOOD COVER,6,3.75,22.5,2011,1,1,13,Weekday
RED RETROSPOT CHILDRENS UMBRELLA,6,3.25,19.5,2011,1,1,13,Weekday
RED RETROSPOT PICNIC BAG,25,2.95,73.75,2011,1,1,13,Weekday
RETROSPOT CHILDRENS APRON,16,1.95,31.2,2011,1,1,13,Weekday
ROSES REGENCY TEACUP AND SAUCER,6,2.95,17.7,2011,1,1,13,Weekday
SET 3 PAPER VINTAGE CHICK PAPER EGG,18,2.95,53.1,2011,1,1,13,Weekday
SET OF 72 PINK HEART PAPER DOILIES,12,1.45,17.4,2011,1,1,13,Weekday
SET/6 RED SPOTTY PAPER CUPS,24,0.65,15.6,2011,1,1,13,Weekday
SET/6 RED SPOTTY PAPER PLATES,36,0.85,30.6,2011,1,1,13,Weekday
SMALL POPCORN HOLDER,100,0.72,72.0,2011,1,1,13,Weekday
STRAWBERRY RAFFIA FOOD COVER,6,3.75,22.5,2011,1,1,13,Weekday
