Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
60 TEATIME FAIRY CAKE CASES,24,0.55,13.2,2011,4,0,13,Weekday
72 SWEETHEART FAIRY CAKE CASES,24,0.55,13.2,2011,4,0,13,Weekday
DOORMAT MULTICOLOUR STRIPE,2,7.95,15.9,2011,4,0,13,Weekday
DOORMAT RED RETROSPOT,2,7.95,15.9,2011,4,0,13,Weekday
DOORMAT WELCOME SUNRISE,2,7.95,15.9,2011,4,0,13,Weekday
PACK OF 60 MUSHROOM CAKE CASES,24,0.55,13.2,2011,4,0,13,Weekday
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13.2,2011,4,0,13,Weekday
PACK OF 72 RETROSPOT CAKE CASES,24,0.55,13.2,2011,4,0,13,Weekday
PACK OF 72 SKULL CAKE CASES,24,0.55,13.2,2011,4,0,13,Weekday
SET OF 36 MUSHROOM PAPER DOILIES,12,1.45,17.4,2011,4,0,13,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,4,0,13,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,4,0,13,Weekday
SET/10 BLUE POLKADOT PARTY CANDLES,24,1.25,30.0,2011,4,0,13,Weekday
SET/10 IVORY POLKADOT PARTY CANDLES,24,1.25,30.0,2011,4,0,13,Weekday
SET/10 PINK POLKADOT PARTY CANDLES,24,1.25,30.0,2011,4,0,13,Weekday
SET/10 RED POLKADOT PARTY CANDLES,24,1.25,30.0,2011,4,0,13,Weekday
3 STRIPEY MICE FELTCRAFT,6,1.95,11.7,2011,5,1,15,Weekday
4 TRADITIONAL SPINNING TOPS,12,1.45,17.4,2011,5,1,15,Weekday
AREA PATROLLED METAL SIGN,12,2.1,25.2,2011,5,1,15,Weekday
ASSORTED COLOUR BIRD ORNAMENT,16,1.69,27.04,2011,5,1,15,Weekday
BAG 125g SWIRLY MARBLES,12,0.42,5.04,2011,5,1,15,Weekday
BAG 250g SWIRLY MARBLES,12,0.85,10.2,2011,5,1,15,Weekday
BAG 500g SWIRLY MARBLES,12,1.65,19.8,2011,5,1,15,Weekday
BINGO SET,8,3.75,30.0,2011,5,1,15,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,5,1,15,Weekday
BIRTHDAY PARTY CORDON BARRIER TAPE,24,1.25,30.0,2011,5,1,15,Weekday
BUTTON BOX,10,1.95,19.5,2011,5,1,15,Weekday
CARD PSYCHEDELIC APPLES,12,0.42,5.04,2011,5,1,15,Weekday
CHOCOLATE THIS WAY METAL SIGN,12,2.1,25.2,2011,5,1,15,Weekday
FANCY FONTS BIRTHDAY WRAP,25,0.42,10.5,2011,5,1,15,Weekday
FELTCRAFT 6 FLOWER FRIENDS,12,2.1,25.2,2011,5,1,15,Weekday
FELTCRAFT GIRL AMELIE KIT,4,4.95,19.8,2011,5,1,15,Weekday
FELTCRAFT GIRL NICOLE KIT,4,4.95,19.8,2011,5,1,15,Weekday
FRIDGE MAGNETS LA VIE EN ROSE,12,0.85,10.2,2011,5,1,15,Weekday
GINGHAM ROSE WRAP,25,0.42,10.5,2011,5,1,15,Weekday
HANGING JAM JAR T-LIGHT HOLDER,24,0.85,20.4,2011,5,1,15,Weekday
I'M ON HOLIDAY METAL SIGN,12,2.1,25.2,2011,5,1,15,Weekday
