Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
12 EGG HOUSE PAINTED WOOD,2,25.49,50.98,2010,December,Monday,9 AM,Weekday
12 EGG HOUSE PAINTED WOOD,1,25.49,25.49,2010,December,Tuesday,6 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,25.49,25.49,2010,December,Thursday,2 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,25.49,25.49,2010,December,Friday,2 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,25.49,25.49,2010,December,Friday,2 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,25.49,25.49,2010,December,Friday,5 PM,Weekday
12 EGG HOUSE PAINTED WOOD,2,12.75,25.5,2010,December,Tuesday,2 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,25.49,25.49,2010,December,Tuesday,3 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,25.49,25.49,2010,December,Tuesday,3 PM,Weekday
12 EGG HOUSE PAINTED WOOD,2,12.75,25.5,2011,January,Thursday,12 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,12.75,12.75,2011,January,Thursday,12 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,24.96,24.96,2011,January,Thursday,2 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,12.75,12.75,2011,January,Thursday,12 PM,Weekday
12 EGG HOUSE PAINTED WOOD,2,12.75,25.5,2011,January,Monday,10 AM,Weekday
12 EGG HOUSE PAINTED WOOD,4,12.75,51.0,2011,January,Thursday,10 AM,Weekday
12 EGG HOUSE PAINTED WOOD,1,24.96,24.96,2011,January,Monday,9 AM,Weekday
12 EGG HOUSE PAINTED WOOD,1,24.96,24.96,2011,January,Monday,12 PM,Weekday
12 EGG HOUSE PAINTED WOOD,1,12.75,12.75,2011,January,Monday,12 PM,Weekday
12 EGG HOUSE PAINTED WOOD,2,12.75,25.5,2011,February,Tuesday,2 PM,Weekday
12 EGG HOUSE PAINTED WOOD,2,12.75,25.5,2011,February,Wednesday,11 AM,Weekday
