Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,January,Sunday,4 PM,Weekend
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,February,Tuesday,2 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,March,Thursday,3 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,6,2.55,15.3,2011,March,Friday,11 AM,Weekday
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,March,Monday,4 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,March,Tuesday,1 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,March,Thursday,1 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,2,2.55,5.1,2011,March,Tuesday,3 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,6,2.55,15.3,2011,March,Wednesday,12 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,12,2.55,30.6,2011,April,Friday,2 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,April,Sunday,12 PM,Weekend
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,April,Wednesday,10 AM,Weekday
12 PINK HEN+CHICKS IN BASKET,1,2.55,2.55,2011,April,Tuesday,3 PM,Weekday
12 PINK HEN+CHICKS IN BASKET,6,2.55,15.3,2011,April,Wednesday,1 PM,Weekday
