Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2010,December,Friday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2010,December,Sunday,11 AM,Weekend
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2010,December,Sunday,4 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2010,December,Thursday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,4,1.25,5.0,2010,December,Sunday,4 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,2,2.51,5.02,2010,December,Friday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2010,December,Friday,5 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2010,December,Monday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2011,January,Tuesday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,4,2.51,10.04,2011,January,Wednesday,11 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,4,1.25,5.0,2011,January,Wednesday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,January,Wednesday,3 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,January,Thursday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,January,Friday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.51,2.51,2011,January,Friday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,4,1.25,5.0,2011,January,Friday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,January,Thursday,11 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,January,Tuesday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,January,Monday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,January,Tuesday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,January,Wednesday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,January,Wednesday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,4,1.25,5.0,2011,January,Monday,10 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,February,Wednesday,5 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,February,Thursday,7 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,February,Monday,3 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,February,Thursday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,February,Thursday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,February,Thursday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,February,Thursday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,February,Monday,9 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,6,1.25,7.5,2011,February,Tuesday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,2.46,4.92,2011,February,Tuesday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,March,Tuesday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,March,Sunday,3 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,March,Thursday,6 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,March,Thursday,6 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,April,Friday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,2.46,29.52,2011,April,Monday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,April,Tuesday,10 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,April,Tuesday,11 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,April,Wednesday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,10,1.25,12.5,2011,April,Thursday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,April,Monday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,May,Thursday,6 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,May,Thursday,8 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,3,1.25,3.75,2011,May,Sunday,1 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,3,1.25,3.75,2011,May,Thursday,7 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,4,1.25,5.0,2011,May,Sunday,1 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,May,Sunday,2 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,June,Tuesday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,June,Wednesday,8 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,12,1.25,15.0,2011,June,Wednesday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,9,1.25,11.25,2011,June,Tuesday,11 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,June,Thursday,3 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,June,Monday,3 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,July,Tuesday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,2.46,4.92,2011,July,Thursday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,July,Monday,3 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,July,Tuesday,2 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,July,Tuesday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,July,Wednesday,11 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,5,1.25,6.25,2011,July,Monday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,July,Wednesday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,July,Friday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,July,Monday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,August,Monday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,3,1.25,3.75,2011,August,Tuesday,11 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,August,Sunday,3 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,7,2.46,17.22,2011,August,Tuesday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,September,Friday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,5,1.25,6.25,2011,September,Sunday,11 AM,Weekend
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,September,Wednesday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,6,1.25,7.5,2011,September,Sunday,2 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,September,Sunday,3 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,September,Sunday,3 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,4,1.25,5.0,2011,September,Sunday,3 PM,Weekend
12 RED ROSE PEG PLACE SETTINGS,60,1.25,75.0,2011,September,Thursday,10 AM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,2.46,2.46,2011,September,Friday,5 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,3,1.25,3.75,2011,September,Wednesday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,September,Wednesday,12 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,2,1.25,2.5,2011,September,Wednesday,1 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,5,2.46,12.3,2011,September,Wednesday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,February,Thursday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,February,Thursday,4 PM,Weekday
12 RED ROSE PEG PLACE SETTINGS,1,1.25,1.25,2011,February,Thursday,4 PM,Weekday
