Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,12,2.1,25.2,2010,December,Wednesday,11 AM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,6,2.1,12.6,2010,December,Wednesday,11 AM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,4,2.1,8.4,2010,December,Wednesday,3 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,6,2.1,12.6,2010,December,Thursday,11 AM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,1,2.1,2.1,2010,December,Thursday,12 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,6,2.1,12.6,2010,December,Thursday,1 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,6,2.1,12.6,2010,December,Thursday,2 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,1,4.21,4.21,2010,December,Friday,11 AM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,3,2.1,6.3,2010,December,Friday,3 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,1,2.1,2.1,2010,December,Friday,3 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,2,2.1,4.2,2010,December,Sunday,11 AM,Weekend
3 PIECE SPACEBOY COOKIE CUTTER SET,18,2.1,37.8,2010,December,Sunday,2 PM,Weekend
3 PIECE SPACEBOY COOKIE CUTTER SET,3,2.1,6.3,2010,December,Sunday,3 PM,Weekend
3 PIECE SPACEBOY COOKIE CUTTER SET,2,2.1,4.2,2010,December,Monday,12 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,8,2.1,16.8,2010,December,Monday,1 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,1,2.1,2.1,2010,December,Monday,2 PM,Weekday
3 PIECE SPACEBOY COOKIE CUTTER SET,1,2.1,2.1,2010,December,Wednesday,12 PM,Weekday
