Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2010,December,Wednesday,9 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Thursday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.79,29.79,2010,December,Friday,11 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2010,December,Sunday,3 PM,Weekend
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Monday,1 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.79,29.79,2010,December,Tuesday,3 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.79,29.79,2010,December,Tuesday,3 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,29.79,59.58,2010,December,Tuesday,3 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2010,December,Wednesday,9 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.95,29.95,2010,December,Thursday,4 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Monday,9 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Monday,11 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Monday,1 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Tuesday,10 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2010,December,Tuesday,11 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Thursday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2010,December,Thursday,5 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.79,29.79,2010,December,Tuesday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.79,29.79,2010,December,Tuesday,3 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Wednesday,3 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Monday,9 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2011,January,Wednesday,11 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.17,29.17,2011,January,Friday,10 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,96,12.75,1224.0,2011,January,Friday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Monday,3 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Tuesday,1 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.17,29.17,2011,January,Tuesday,4 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,9,12.75,114.75,2011,January,Friday,1 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Sunday,10 AM,Weekend
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Monday,4 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Thursday,11 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Thursday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,January,Thursday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,8,14.95,119.6,2011,January,Friday,10 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Tuesday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,4,14.95,59.8,2011,February,Wednesday,10 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.17,29.17,2011,February,Wednesday,1 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,12.75,12.75,2011,February,Wednesday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,4,14.95,59.8,2011,February,Friday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2011,February,Monday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2011,February,Monday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2011,February,Thursday,10 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Tuesday,11 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,16,12.75,204.0,2011,February,Tuesday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Friday,10 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,29.17,29.17,2011,February,Friday,4 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Sunday,2 PM,Weekend
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Monday,1 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2011,February,Tuesday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,3,14.95,44.85,2011,February,Wednesday,9 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,4,14.95,59.8,2011,February,Wednesday,12 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Thursday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Friday,11 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Sunday,2 PM,Weekend
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,February,Monday,10 AM,Weekday
3 TIER CAKE TIN RED AND CREAM,96,12.75,1224.0,2011,March,Tuesday,2 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,March,Tuesday,5 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,2,14.95,29.9,2011,March,Wednesday,4 PM,Weekday
3 TIER CAKE TIN RED AND CREAM,1,14.95,14.95,2011,March,Thursday,10 AM,Weekday
