Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,June,Wednesday,2 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,1,2.92,2.92,2011,June,Thursday,4 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,July,Tuesday,3 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,144,1.25,180.0,2011,July,Wednesday,10 AM,Weekday
36 DOILIES VINTAGE CHRISTMAS,36,1.45,52.2,2011,July,Monday,11 AM,Weekday
36 DOILIES VINTAGE CHRISTMAS,1,2.92,2.92,2011,July,Thursday,4 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,72,1.45,104.4,2011,July,Sunday,1 PM,Weekend
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,July,Thursday,10 AM,Weekday
36 DOILIES VINTAGE CHRISTMAS,1,1.45,1.45,2011,July,Thursday,2 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,July,Friday,12 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,1,2.92,2.92,2011,July,Monday,4 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,July,Thursday,12 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,July,Thursday,2 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,288,1.25,360.0,2011,July,Thursday,3 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,48,1.45,69.6,2011,July,Sunday,12 PM,Weekend
36 DOILIES VINTAGE CHRISTMAS,288,1.45,417.6,2011,July,Sunday,3 PM,Weekend
36 DOILIES VINTAGE CHRISTMAS,144,1.45,208.8,2011,July,Sunday,3 PM,Weekend
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,August,Tuesday,2 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,288,1.25,360.0,2011,August,Thursday,2 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,August,Monday,11 AM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,August,Monday,3 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,August,Wednesday,12 PM,Weekday
36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,August,Wednesday,10 AM,Weekday
36 DOILIES VINTAGE CHRISTMAS,288,1.25,360.0,2011,August,Thursday,8 AM,Weekday
