Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Wednesday,5 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Friday,11 AM,Weekday
3D SHEET OF DOG STICKERS,2,1.69,3.38,2010,December,Friday,11 AM,Weekday
3D SHEET OF DOG STICKERS,12,0.85,10.2,2010,December,Friday,2 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Monday,10 AM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Monday,4 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Tuesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,12,0.85,10.2,2010,December,Wednesday,12 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Thursday,2 PM,Weekday
3D SHEET OF DOG STICKERS,5,0.85,4.25,2010,December,Thursday,3 PM,Weekday
3D SHEET OF DOG STICKERS,5,0.85,4.25,2010,December,Sunday,10 AM,Weekend
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Tuesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,2,0.85,1.7,2010,December,Monday,4 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Tuesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,2,1.69,3.38,2010,December,Tuesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Tuesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2010,December,Tuesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,20,0.85,17.0,2011,January,Sunday,11 AM,Weekend
3D SHEET OF DOG STICKERS,2,1.69,3.38,2011,January,Monday,9 AM,Weekday
3D SHEET OF DOG STICKERS,1,1.69,1.69,2011,January,Wednesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,18,0.85,15.3,2011,January,Wednesday,4 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,January,Friday,10 AM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,January,Friday,3 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,January,Friday,3 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,January,Wednesday,4 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,January,Monday,9 AM,Weekday
3D SHEET OF DOG STICKERS,3,1.66,4.98,2011,February,Thursday,11 AM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,February,Tuesday,1 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,February,Wednesday,12 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,February,Thursday,10 AM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,February,Thursday,10 AM,Weekday
3D SHEET OF DOG STICKERS,8,0.85,6.8,2011,February,Friday,11 AM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,February,Monday,4 PM,Weekday
3D SHEET OF DOG STICKERS,1,0.85,0.85,2011,March,Sunday,11 AM,Weekend
3D SHEET OF DOG STICKERS,1,0.85,0.85,2011,March,Friday,2 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,March,Tuesday,2 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,March,Tuesday,2 PM,Weekday
3D SHEET OF DOG STICKERS,4,0.85,3.4,2011,March,Tuesday,12 PM,Weekday
3D SHEET OF DOG STICKERS,1,0.85,0.85,2011,March,Monday,4 PM,Weekday
3D SHEET OF DOG STICKERS,24,0.85,20.4,2011,March,Tuesday,1 PM,Weekday
3D SHEET OF DOG STICKERS,1,1.66,1.66,2011,April,Friday,2 PM,Weekday
3D SHEET OF DOG STICKERS,12,0.85,10.2,2011,April,Thursday,10 AM,Weekday
3D SHEET OF DOG STICKERS,3,1.66,4.98,2011,May,Thursday,3 PM,Weekday
3D SHEET OF DOG STICKERS,12,0.85,10.2,2011,May,Wednesday,3 PM,Weekday
3D SHEET OF DOG STICKERS,3,0.85,2.55,2011,May,Thursday,2 PM,Weekday
