Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,August,Monday,10 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,August,Monday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,August,Wednesday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,30,0.82,24.6,2011,September,Thursday,11 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,2,1.63,3.26,2011,September,Friday,9 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Monday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,5,0.82,4.1,2011,September,Monday,4 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,1,1.63,1.63,2011,September,Wednesday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Thursday,8 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Monday,9 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,September,Monday,11 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Monday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,September,Tuesday,11 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Friday,9 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Friday,10 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Monday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Wednesday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Wednesday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Thursday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,6,0.82,4.92,2011,September,Friday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Sunday,3 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Sunday,3 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,September,Monday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,40,0.82,32.8,2011,September,Tuesday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,2,1.63,3.26,2011,September,Wednesday,4 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,September,Thursday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Sunday,3 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,200,0.72,144.0,2011,February,Wednesday,10 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Wednesday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Thursday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Friday,8 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,4,0.82,3.28,2011,February,Sunday,1 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Tuesday,9 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,2,1.63,3.26,2011,February,Tuesday,4 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Thursday,11 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Thursday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Friday,4 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,30,0.82,24.6,2011,February,Monday,9 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Monday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Monday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Monday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Monday,3 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Tuesday,10 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,11,0.82,9.02,2011,February,Wednesday,11 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Wednesday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Friday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Friday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Friday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,6,0.82,4.92,2011,February,Sunday,12 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Monday,10 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Monday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Monday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Monday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Tuesday,9 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,20,0.82,16.4,2011,February,Tuesday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Wednesday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Wednesday,1 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Thursday,12 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Friday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Sunday,12 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,1,0.82,0.82,2011,February,Sunday,2 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Sunday,2 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Sunday,3 PM,Weekend
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,February,Monday,9 AM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,5,1.63,8.15,2011,February,Monday,2 PM,Weekday
50'S CHRISTMAS PAPER GIFT BAG,10,0.82,8.2,2011,January,Tuesday,9 AM,Weekday
