Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
50CM METAL STRING WITH  7 CLIPS,1,2.13,2.13,2010,December,Monday,4 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,2.13,2.13,2010,December,Friday,2 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,12,0.85,10.2,2011,January,Monday,11 AM,Weekday
50CM METAL STRING WITH  7 CLIPS,4,0.85,3.4,2011,February,Tuesday,11 AM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,0.85,0.85,2011,February,Sunday,12 PM,Weekend
50CM METAL STRING WITH  7 CLIPS,12,0.85,10.2,2011,March,Tuesday,10 AM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,2.08,2.08,2011,March,Thursday,9 AM,Weekday
50CM METAL STRING WITH  7 CLIPS,144,0.68,97.92,2011,March,Tuesday,12 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,2.08,2.08,2011,March,Friday,12 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,2,0.85,1.7,2011,April,Wednesday,12 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,12,0.85,10.2,2011,May,Wednesday,12 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,2,0.85,1.7,2011,June,Tuesday,1 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,4,0.85,3.4,2011,June,Thursday,5 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,0.85,0.85,2011,June,Wednesday,1 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,0.85,0.85,2011,June,Thursday,7 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,12,0.85,10.2,2011,August,Wednesday,11 AM,Weekday
50CM METAL STRING WITH  7 CLIPS,2,0.85,1.7,2011,September,Tuesday,12 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,0.85,0.85,2011,February,Friday,3 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,0.85,0.85,2011,February,Friday,3 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,2,0.85,1.7,2011,February,Monday,12 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,0.85,0.85,2011,February,Wednesday,4 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,2,0.85,1.7,2011,January,Wednesday,12 PM,Weekday
50CM METAL STRING WITH  7 CLIPS,1,0.85,0.85,2011,January,Sunday,11 AM,Weekend
50CM METAL STRING WITH  7 CLIPS,5,0.85,4.25,2011,January,Tuesday,5 PM,Weekday
