Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ALPHABET HEARTS STICKER SHEET,1,0.85,0.85,2010,December,Sunday,1 PM,Weekend
ALPHABET HEARTS STICKER SHEET,2,1.66,3.32,2010,December,Monday,10 AM,Weekday
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2010,December,Monday,10 AM,Weekday
ALPHABET HEARTS STICKER SHEET,1,0.85,0.85,2010,December,Monday,12 PM,Weekday
ALPHABET HEARTS STICKER SHEET,1,1.66,1.66,2010,December,Monday,4 PM,Weekday
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2010,December,Wednesday,8 AM,Weekday
ALPHABET HEARTS STICKER SHEET,1,0.85,0.85,2010,December,Sunday,10 AM,Weekend
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2010,December,Thursday,3 PM,Weekday
ALPHABET HEARTS STICKER SHEET,1,0.85,0.85,2010,December,Sunday,2 PM,Weekend
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2011,January,Thursday,4 PM,Weekday
ALPHABET HEARTS STICKER SHEET,2,1.66,3.32,2011,January,Friday,1 PM,Weekday
ALPHABET HEARTS STICKER SHEET,3,0.85,2.55,2011,January,Wednesday,1 PM,Weekday
ALPHABET HEARTS STICKER SHEET,4,0.85,3.4,2011,January,Friday,2 PM,Weekday
ALPHABET HEARTS STICKER SHEET,20,0.85,17.0,2011,January,Tuesday,3 PM,Weekday
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2011,January,Monday,12 PM,Weekday
ALPHABET HEARTS STICKER SHEET,3,0.85,2.55,2011,January,Wednesday,1 PM,Weekday
ALPHABET HEARTS STICKER SHEET,3,0.85,2.55,2011,January,Wednesday,1 PM,Weekday
ALPHABET HEARTS STICKER SHEET,1,1.63,1.63,2011,February,Tuesday,11 AM,Weekday
ALPHABET HEARTS STICKER SHEET,1,0.85,0.85,2011,February,Tuesday,4 PM,Weekday
ALPHABET HEARTS STICKER SHEET,6,0.85,5.1,2011,February,Friday,11 AM,Weekday
ALPHABET HEARTS STICKER SHEET,6,0.85,5.1,2011,February,Thursday,11 AM,Weekday
ALPHABET HEARTS STICKER SHEET,2,1.63,3.26,2011,February,Monday,4 PM,Weekday
ALPHABET HEARTS STICKER SHEET,1,1.63,1.63,2011,February,Monday,4 PM,Weekday
ALPHABET HEARTS STICKER SHEET,5,0.85,4.25,2011,March,Tuesday,4 PM,Weekday
ALPHABET HEARTS STICKER SHEET,2,0.85,1.7,2011,March,Tuesday,12 PM,Weekday
ALPHABET HEARTS STICKER SHEET,50,0.85,42.5,2011,March,Tuesday,3 PM,Weekday
ALPHABET HEARTS STICKER SHEET,24,0.85,20.4,2011,March,Thursday,1 PM,Weekday
ALPHABET HEARTS STICKER SHEET,6,0.85,5.1,2011,April,Thursday,11 AM,Weekday
ALPHABET HEARTS STICKER SHEET,5,0.85,4.25,2011,April,Wednesday,12 PM,Weekday
ALPHABET HEARTS STICKER SHEET,24,0.85,20.4,2011,May,Sunday,2 PM,Weekend
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2011,May,Friday,8 AM,Weekday
ALPHABET HEARTS STICKER SHEET,50,0.85,42.5,2011,May,Tuesday,2 PM,Weekday
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2011,May,Monday,9 AM,Weekday
ALPHABET HEARTS STICKER SHEET,4,0.85,3.4,2011,May,Tuesday,11 AM,Weekday
ALPHABET HEARTS STICKER SHEET,6,0.85,5.1,2011,June,Wednesday,1 PM,Weekday
ALPHABET HEARTS STICKER SHEET,5,0.85,4.25,2011,June,Sunday,12 PM,Weekend
ALPHABET HEARTS STICKER SHEET,12,0.85,10.2,2011,June,Friday,1 PM,Weekday
ALPHABET HEARTS STICKER SHEET,2,0.85,1.7,2011,June,Friday,2 PM,Weekday
ALPHABET HEARTS STICKER SHEET,4,0.79,3.16,2011,June,Wednesday,3 PM,Weekday
ALPHABET HEARTS STICKER SHEET,4,0.79,3.16,2011,July,Monday,4 PM,Weekday
