Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.24,4.24,2010,December,Monday,4 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,3,4.25,12.75,2010,December,Wednesday,10 AM,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.24,4.24,2010,December,Friday,2 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,2,4.15,8.3,2011,January,Monday,1 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.15,4.15,2011,January,Friday,2 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.25,4.25,2011,March,Friday,10 AM,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.15,4.15,2011,April,Friday,3 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,6,4.25,25.5,2011,April,Thursday,1 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,6,4.25,25.5,2011,April,Wednesday,12 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,6,4.25,25.5,2011,September,Friday,2 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.15,4.15,2011,February,Tuesday,5 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.15,4.15,2011,February,Tuesday,6 PM,Weekday
AMBER DIAMANTE EXPANDABLE RING,1,4.15,4.15,2011,January,Wednesday,3 PM,Weekday
