Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ANGEL DECORATION WITH LACE PADDED,24,0.85,20.4,2010,December,Sunday,4 PM,Weekend
ANGEL DECORATION WITH LACE PADDED,3,0.85,2.55,2010,December,Wednesday,12 PM,Weekday
ANGEL DECORATION WITH LACE PADDED,24,0.85,20.4,2010,December,Sunday,1 PM,Weekend
ANGEL DECORATION WITH LACE PADDED,3,0.85,2.55,2010,December,Sunday,4 PM,Weekend
ANGEL DECORATION WITH LACE PADDED,7,0.85,5.95,2010,December,Monday,1 PM,Weekday
ANGEL DECORATION WITH LACE PADDED,48,0.85,40.8,2010,December,Tuesday,10 AM,Weekday
ANGEL DECORATION WITH LACE PADDED,24,0.85,20.4,2010,December,Wednesday,1 PM,Weekday
ANGEL DECORATION WITH LACE PADDED,24,0.85,20.4,2011,August,Monday,11 AM,Weekday
ANGEL DECORATION WITH LACE PADDED,1,0.85,0.85,2011,August,Monday,1 PM,Weekday
ANGEL DECORATION WITH LACE PADDED,48,0.85,40.8,2011,August,Sunday,1 PM,Weekend
ANGEL DECORATION WITH LACE PADDED,6,0.85,5.1,2011,August,Wednesday,2 PM,Weekday
