Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Monday,12 PM,Weekday
ANIMALS AND NATURE WALL ART,120,3.29,394.8,2011,February,Monday,2 PM,Weekday
ANIMALS AND NATURE WALL ART,15,3.75,56.25,2011,February,Monday,3 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Tuesday,11 AM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Tuesday,12 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Tuesday,1 PM,Weekday
ANIMALS AND NATURE WALL ART,48,3.29,157.92,2011,February,Wednesday,12 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Thursday,1 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Friday,12 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Monday,12 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Monday,1 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Friday,9 AM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Monday,12 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,February,Thursday,4 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,January,Tuesday,9 AM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,January,Wednesday,1 PM,Weekday
ANIMALS AND NATURE WALL ART,6,3.75,22.5,2011,January,Wednesday,3 PM,Weekday
