Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2010,December,Friday,2 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,4.21,4.21,2010,December,Monday,4 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2010,December,Sunday,11 AM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,2,1.95,3.9,2011,January,Sunday,4 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,1,4.13,4.13,2011,January,Monday,1 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2011,February,Wednesday,5 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2011,February,Tuesday,1 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2011,March,Friday,9 AM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2011,April,Sunday,3 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2011,April,Sunday,3 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,1,4.13,4.13,2011,May,Tuesday,3 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,3,1.95,5.85,2011,June,Wednesday,2 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2011,June,Tuesday,12 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,1.95,1.95,2011,June,Wednesday,12 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,July,Wednesday,10 AM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,4.13,4.13,2011,July,Wednesday,3 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,July,Sunday,12 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,2,0.79,1.58,2011,July,Sunday,3 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,August,Friday,5 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,August,Monday,2 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,4.13,4.13,2011,August,Monday,3 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,September,Sunday,1 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,2,0.79,1.58,2011,September,Sunday,3 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,September,Sunday,3 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,3,0.79,2.37,2011,September,Thursday,12 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,2,0.79,1.58,2011,September,Thursday,12 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,February,Tuesday,12 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,3,0.79,2.37,2011,February,Sunday,4 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,6,0.79,4.74,2011,February,Monday,3 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,February,Thursday,1 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,2,0.79,1.58,2011,February,Thursday,1 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,24,0.79,18.96,2011,February,Monday,2 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,3,0.79,2.37,2011,February,Sunday,12 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,3,0.79,2.37,2011,February,Monday,1 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,12,0.79,9.48,2011,January,Thursday,12 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,6,0.79,4.74,2011,January,Sunday,4 PM,Weekend
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,January,Monday,12 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,January,Wednesday,1 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,January,Monday,11 AM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,2,0.79,1.58,2011,January,Tuesday,2 PM,Weekday
ASS FLORAL PRINT SPIRIT LEVEL,1,0.79,0.79,2011,December,Wednesday,12 PM,Weekday
