Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2010,December,Wednesday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,12,2.55,30.6,2010,December,Wednesday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,12,2.55,30.6,2010,December,Wednesday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,12,2.55,30.6,2010,December,Wednesday,4 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,12,2.55,30.6,2010,December,Friday,9 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,2.55,2.55,2010,December,Sunday,10 AM,Weekend
BAKING MOULD CHOCOLATE CUPCAKES,4,2.55,10.2,2010,December,Sunday,1 PM,Weekend
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2010,December,Monday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2010,December,Tuesday,11 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2010,December,Thursday,8 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2010,December,Thursday,9 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,18,2.55,45.9,2010,December,Thursday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2010,December,Thursday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2010,December,Thursday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2010,December,Thursday,5 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,5.06,5.06,2010,December,Friday,4 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,4,2.55,10.2,2010,December,Friday,4 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,5.06,5.06,2010,December,Friday,5 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,3,2.55,7.65,2010,December,Sunday,3 PM,Weekend
BAKING MOULD CHOCOLATE CUPCAKES,1,5.06,5.06,2010,December,Monday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,2.55,2.55,2010,December,Tuesday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,5.06,5.06,2010,December,Tuesday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,5.06,5.06,2011,January,Tuesday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Tuesday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,5,2.55,12.75,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,12,2.55,30.6,2011,January,Wednesday,11 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,8,2.55,20.4,2011,January,Wednesday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2011,January,Thursday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,12,2.55,30.6,2011,January,Thursday,4 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,3,2.55,7.65,2011,January,Friday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Friday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2011,January,Monday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,4,2.55,10.2,2011,January,Monday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,5.06,5.06,2011,January,Monday,4 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,18,2.55,45.9,2011,January,Thursday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Friday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,2.55,2.55,2011,January,Sunday,10 AM,Weekend
BAKING MOULD CHOCOLATE CUPCAKES,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Monday,11 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,4,2.55,10.2,2011,January,Monday,12 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,2.55,2.55,2011,January,Monday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2011,January,Monday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,4.96,4.96,2011,January,Monday,5 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,24,2.55,61.2,2011,January,Tuesday,9 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,4.96,4.96,2011,January,Tuesday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,4.96,4.96,2011,January,Tuesday,5 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,4.96,4.96,2011,January,Friday,5 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Monday,12 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,1,4.96,4.96,2011,January,Tuesday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Tuesday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,12 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,12 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Wednesday,2 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2011,January,Thursday,11 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Thursday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,10,2.55,25.5,2011,January,Thursday,3 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,12,2.55,30.6,2011,January,Friday,12 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Friday,1 PM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,2,2.55,5.1,2011,January,Sunday,1 PM,Weekend
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Monday,9 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Monday,10 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,6,2.55,15.3,2011,January,Monday,11 AM,Weekday
BAKING MOULD CHOCOLATE CUPCAKES,24,2.55,61.2,2011,January,Monday,1 PM,Weekday
