Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,1,2.55,2.55,2010,December,Wednesday,10 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,72,2.1,151.2,2010,December,Wednesday,12 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2010,December,Thursday,10 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,8,2.55,20.4,2010,December,Sunday,10 AM,Weekend
BAKING MOULD TOFFEE CUP CHOCOLATE,2,2.55,5.1,2010,December,Sunday,1 PM,Weekend
BAKING MOULD TOFFEE CUP CHOCOLATE,1,5.06,5.06,2010,December,Friday,2 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,3,2.55,7.65,2010,December,Friday,5 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,2,2.55,5.1,2011,January,Wednesday,3 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,1,2.55,2.55,2011,January,Thursday,12 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,2,2.55,5.1,2011,January,Thursday,1 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2011,January,Thursday,4 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,144,2.1,302.4,2011,January,Friday,2 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2011,January,Wednesday,10 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,48,2.55,122.4,2011,January,Thursday,3 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,2,4.96,9.92,2011,January,Monday,12 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2011,February,Friday,11 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,24,2.55,61.2,2011,February,Monday,9 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,1,4.96,4.96,2011,February,Monday,12 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,4,2.55,10.2,2011,February,Tuesday,2 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,96,2.1,201.6,2011,February,Tuesday,2 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,1,2.55,2.55,2011,February,Sunday,3 PM,Weekend
BAKING MOULD TOFFEE CUP CHOCOLATE,2,2.55,5.1,2011,February,Monday,11 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2011,February,Thursday,9 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2011,February,Friday,10 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2011,March,Friday,10 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.3,2011,March,Friday,2 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,2,2.55,5.1,2011,March,Sunday,12 PM,Weekend
BAKING MOULD TOFFEE CUP CHOCOLATE,1,2.55,2.55,2011,March,Wednesday,12 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,1,2.55,2.55,2011,March,Thursday,7 PM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,96,2.1,201.6,2011,March,Wednesday,11 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,96,2.1,201.6,2011,March,Wednesday,11 AM,Weekday
BAKING MOULD TOFFEE CUP CHOCOLATE,1,2.55,2.55,2011,March,Sunday,1 PM,Weekend
