Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2010,December,Thursday,10 AM,Weekday
BANK ACCOUNT  GREETING  CARD,2,0.85,1.7,2010,December,Friday,9 AM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2010,December,Thursday,2 PM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2010,December,Monday,11 AM,Weekday
BANK ACCOUNT  GREETING  CARD,8,0.43,3.44,2010,December,Thursday,1 PM,Weekday
BANK ACCOUNT  GREETING  CARD,3,0.43,1.29,2011,January,Tuesday,1 PM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,January,Wednesday,11 AM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,January,Wednesday,1 PM,Weekday
BANK ACCOUNT  GREETING  CARD,5,0.43,2.15,2011,January,Wednesday,2 PM,Weekday
BANK ACCOUNT  GREETING  CARD,3,0.43,1.29,2011,January,Wednesday,4 PM,Weekday
BANK ACCOUNT  GREETING  CARD,4,0.43,1.72,2011,January,Thursday,2 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.43,0.43,2011,January,Friday,11 AM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,January,Friday,5 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.43,0.43,2011,January,Tuesday,1 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.43,0.43,2011,January,Wednesday,9 AM,Weekday
BANK ACCOUNT  GREETING  CARD,3,0.43,1.29,2011,January,Wednesday,3 PM,Weekday
BANK ACCOUNT  GREETING  CARD,5,0.42,2.1,2011,January,Thursday,9 AM,Weekday
BANK ACCOUNT  GREETING  CARD,5,0.42,2.1,2011,January,Thursday,2 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.42,0.42,2011,January,Friday,2 PM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,January,Sunday,1 PM,Weekend
BANK ACCOUNT  GREETING  CARD,2,0.42,0.84,2011,January,Monday,5 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.42,0.42,2011,January,Tuesday,4 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.42,0.42,2011,January,Tuesday,5 PM,Weekday
BANK ACCOUNT  GREETING  CARD,2,0.42,0.84,2011,January,Wednesday,3 PM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,January,Thursday,2 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.42,0.42,2011,January,Thursday,6 PM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,January,Sunday,2 PM,Weekend
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,January,Wednesday,12 PM,Weekday
BANK ACCOUNT  GREETING  CARD,24,0.42,10.08,2011,February,Sunday,12 PM,Weekend
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,March,Wednesday,12 PM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,March,Wednesday,12 PM,Weekday
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,March,Sunday,12 PM,Weekend
BANK ACCOUNT  GREETING  CARD,12,0.42,5.04,2011,April,Sunday,3 PM,Weekend
BANK ACCOUNT  GREETING  CARD,1,0.83,0.83,2011,April,Monday,3 PM,Weekday
BANK ACCOUNT  GREETING  CARD,72,0.36,25.92,2011,April,Tuesday,10 AM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.83,0.83,2011,April,Monday,3 PM,Weekday
BANK ACCOUNT  GREETING  CARD,1,0.83,0.83,2011,May,Thursday,3 PM,Weekday
BANK ACCOUNT  GREETING  CARD,2,0.83,1.66,2011,July,Tuesday,4 PM,Weekday
