Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2010,December,Sunday,1 PM,Weekend
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,March,Wednesday,12 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,March,Thursday,12 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,March,Tuesday,12 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,2,3.75,7.5,2011,March,Thursday,8 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,2,3.75,7.5,2011,March,Friday,9 AM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,March,Sunday,3 PM,Weekend
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,April,Thursday,6 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,2,3.75,7.5,2011,April,Monday,10 AM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,May,Monday,12 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,July,Thursday,12 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,July,Friday,10 AM,Weekday
BATHROOM SCALES RUBBER DUCKS,2,3.75,7.5,2011,August,Monday,2 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,September,Wednesday,3 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,September,Thursday,12 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,February,Sunday,3 PM,Weekend
BATHROOM SCALES RUBBER DUCKS,8,2.95,23.6,2011,February,Sunday,1 PM,Weekend
BATHROOM SCALES RUBBER DUCKS,2,3.75,7.5,2011,February,Monday,1 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,1,3.75,3.75,2011,February,Thursday,12 PM,Weekday
BATHROOM SCALES RUBBER DUCKS,2,3.75,7.5,2011,January,Sunday,4 PM,Weekend
BATHROOM SCALES RUBBER DUCKS,10,2.95,29.5,2011,January,Wednesday,3 PM,Weekday
