Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BEACH HUT KEY CABINET,1,3.75,3.75,2010,December,Wednesday,2 PM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2010,December,Friday,11 AM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2010,December,Monday,9 AM,Weekday
BEACH HUT KEY CABINET,2,7.62,15.24,2010,December,Friday,2 PM,Weekday
BEACH HUT KEY CABINET,2,3.75,7.5,2010,December,Tuesday,2 PM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2010,December,Friday,2 PM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2010,December,Friday,5 PM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2010,December,Monday,1 PM,Weekday
BEACH HUT KEY CABINET,1,3.75,3.75,2011,January,Tuesday,12 PM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2011,January,Wednesday,2 PM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2011,January,Thursday,2 PM,Weekday
BEACH HUT KEY CABINET,1,7.62,7.62,2011,January,Friday,1 PM,Weekday
BEACH HUT KEY CABINET,4,3.75,15.0,2011,January,Sunday,4 PM,Weekend
BEACH HUT KEY CABINET,1,7.46,7.46,2011,January,Thursday,2 PM,Weekday
BEACH HUT KEY CABINET,3,3.75,11.25,2011,January,Sunday,2 PM,Weekend
BEACH HUT KEY CABINET,1,3.75,3.75,2011,April,Tuesday,12 PM,Weekday
BEACH HUT KEY CABINET,1,7.46,7.46,2011,May,Monday,4 PM,Weekday
BEACH HUT KEY CABINET,1,3.75,3.75,2011,May,Sunday,4 PM,Weekend
BEACH HUT KEY CABINET,1,7.46,7.46,2011,May,Monday,4 PM,Weekday
BEACH HUT KEY CABINET,4,3.75,15.0,2011,May,Friday,10 AM,Weekday
BEACH HUT KEY CABINET,4,3.75,15.0,2011,May,Sunday,11 AM,Weekend
