Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,7,0.85,5.95,2010,December,Monday,10 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.85,0.85,2010,December,Friday,9 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.85,0.85,2010,December,Friday,2 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.85,0.85,2010,December,Thursday,1 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.85,0.85,2011,January,Friday,11 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,10,0.85,8.5,2011,January,Friday,1 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,5,0.85,4.25,2011,January,Monday,2 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,10,0.83,8.3,2011,January,Friday,2 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,3,1.25,3.75,2011,January,Sunday,11 AM,Weekend
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,January,Monday,5 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,3,0.83,2.49,2011,January,Tuesday,10 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,February,Wednesday,1 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,2,0.83,1.66,2011,February,Monday,2 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,5,0.83,4.15,2011,February,Tuesday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,4,0.83,3.32,2011,February,Tuesday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,2,0.83,1.66,2011,March,Thursday,9 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,10,0.83,8.3,2011,March,Wednesday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,3,0.83,2.49,2011,March,Thursday,6 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,April,Thursday,7 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,24,1.06,25.44,2011,April,Thursday,10 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,May,Friday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,May,Thursday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,3,0.83,2.49,2011,May,Friday,3 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,June,Monday,3 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,5,0.83,4.15,2011,June,Wednesday,3 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,July,Monday,5 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,3,0.83,2.49,2011,July,Monday,5 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,August,Monday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,3,1.25,3.75,2011,August,Sunday,10 AM,Weekend
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,August,Wednesday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,7,0.83,5.81,2011,August,Friday,4 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,2,0.83,1.66,2011,August,Tuesday,10 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,2,0.83,1.66,2011,August,Tuesday,10 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,3,0.83,2.49,2011,August,Tuesday,12 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,August,Tuesday,12 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,10,0.83,8.3,2011,September,Friday,9 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,12,1.25,15.0,2011,September,Tuesday,2 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,September,Tuesday,12 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,2,0.83,1.66,2011,September,Wednesday,2 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,7,0.83,5.81,2011,September,Monday,3 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,5,0.83,4.15,2011,September,Tuesday,6 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,4,0.83,3.32,2011,February,Monday,9 AM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,12,1.25,15.0,2011,February,Tuesday,2 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,February,Monday,5 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,January,Thursday,3 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,1,0.83,0.83,2011,January,Thursday,12 PM,Weekday
BEADED CRYSTAL HEART BLUE ON STICK,4,0.83,3.32,2011,January,Monday,3 PM,Weekday
