Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2010,December,Wednesday,10 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2010,December,Thursday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,January,Friday,5 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,January,Thursday,8 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,February,Thursday,1 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,February,Wednesday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,February,Wednesday,1 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,February,Friday,9 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,March,Tuesday,3 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,April,Tuesday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,April,Monday,8 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,April,Tuesday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,April,Tuesday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,May,Wednesday,3 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,May,Tuesday,3 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,May,Wednesday,2 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,June,Wednesday,10 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,June,Tuesday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,July,Thursday,5 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,200,0.34,68.0,2011,July,Tuesday,9 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,July,Thursday,2 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,September,Friday,9 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,September,Tuesday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,September,Wednesday,4 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,September,Thursday,5 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,September,Thursday,6 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,February,Monday,4 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,February,Tuesday,12 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,January,Tuesday,9 AM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,January,Sunday,12 PM,Weekend
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,January,Wednesday,5 PM,Weekday
BIRTHDAY BANQUET GIFT WRAP,25,0.42,10.5,2011,December,Monday,3 PM,Weekday
