Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,2,2.89,5.78,2011,June,Tuesday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,2,2.89,5.78,2011,June,Tuesday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,June,Tuesday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,June,Thursday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,June,Sunday,11 AM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,June,Thursday,1 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,12,2.89,34.68,2011,July,Sunday,1 PM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,July,Monday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,36,2.49,89.64,2011,July,Monday,2 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,1,5.79,5.79,2011,July,Tuesday,5 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,July,Wednesday,3 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,36,2.49,89.64,2011,July,Sunday,1 PM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,July,Sunday,4 PM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,July,Thursday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,July,Sunday,11 AM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Tuesday,2 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Wednesday,1 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Thursday,3 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Monday,3 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,2,2.89,5.78,2011,August,Tuesday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Wednesday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Thursday,11 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Sunday,12 PM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,August,Monday,2 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Wednesday,10 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,216,2.49,537.84,2011,August,Thursday,8 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,August,Sunday,2 PM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,2,2.89,5.78,2011,August,Sunday,3 PM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,24,2.89,69.36,2011,August,Monday,10 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,August,Tuesday,5 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,August,Wednesday,2 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,12,2.89,34.68,2011,September,Thursday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Friday,1 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,2,2.89,5.78,2011,September,Friday,1 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Sunday,3 PM,Weekend
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,September,Monday,12 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Tuesday,9 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Tuesday,11 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Tuesday,3 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Wednesday,9 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Wednesday,10 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Thursday,10 AM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,1,2.89,2.89,2011,September,Friday,1 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,6,2.89,17.34,2011,September,Friday,3 PM,Weekday
BISCUIT TIN VINTAGE CHRISTMAS,36,2.49,89.64,2011,September,Friday,3 PM,Weekday
