Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2010,December,Friday,11 AM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2010,December,Monday,12 PM,Weekday
BLACK AND WHITE CAT BOWL,24,0.65,15.6,2010,December,Monday,10 AM,Weekday
BLACK AND WHITE CAT BOWL,24,0.65,15.6,2010,December,Tuesday,12 PM,Weekday
BLACK AND WHITE CAT BOWL,24,0.65,15.6,2010,December,Tuesday,12 PM,Weekday
BLACK AND WHITE CAT BOWL,24,0.65,15.6,2010,December,Thursday,10 AM,Weekday
BLACK AND WHITE CAT BOWL,24,0.65,15.6,2010,December,Thursday,1 PM,Weekday
BLACK AND WHITE CAT BOWL,48,0.65,31.2,2010,December,Thursday,5 PM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2010,December,Tuesday,10 AM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,January,Tuesday,12 PM,Weekday
BLACK AND WHITE CAT BOWL,24,0.65,15.6,2011,January,Wednesday,3 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,January,Monday,9 AM,Weekday
BLACK AND WHITE CAT BOWL,6,2.4,14.4,2011,January,Tuesday,9 AM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,January,Thursday,2 PM,Weekday
BLACK AND WHITE CAT BOWL,1,4.13,4.13,2011,January,Friday,2 PM,Weekday
BLACK AND WHITE CAT BOWL,24,0.65,15.6,2011,January,Tuesday,12 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,January,Thursday,11 AM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,February,Thursday,2 PM,Weekday
BLACK AND WHITE CAT BOWL,48,0.85,40.8,2011,February,Thursday,2 PM,Weekday
BLACK AND WHITE CAT BOWL,2,2.1,4.2,2011,March,Thursday,1 PM,Weekday
BLACK AND WHITE CAT BOWL,24,2.4,57.6,2011,March,Friday,9 AM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,April,Monday,12 PM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,April,Wednesday,1 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,April,Sunday,11 AM,Weekend
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,April,Monday,3 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,April,Tuesday,10 AM,Weekday
BLACK AND WHITE CAT BOWL,72,0.85,61.2,2011,May,Wednesday,11 AM,Weekday
BLACK AND WHITE CAT BOWL,2,2.1,4.2,2011,May,Thursday,8 PM,Weekday
BLACK AND WHITE CAT BOWL,888,2.4,2131.2,2011,May,Tuesday,10 AM,Weekday
BLACK AND WHITE CAT BOWL,3,2.1,6.3,2011,June,Monday,1 PM,Weekday
BLACK AND WHITE CAT BOWL,2,2.1,4.2,2011,June,Thursday,4 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,June,Sunday,10 AM,Weekend
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,July,Thursday,10 AM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,July,Friday,3 PM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,July,Sunday,2 PM,Weekend
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,July,Monday,3 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,August,Thursday,6 PM,Weekday
BLACK AND WHITE CAT BOWL,12,2.1,25.2,2011,August,Monday,4 PM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,August,Friday,5 PM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,August,Thursday,3 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,September,Tuesday,1 PM,Weekday
BLACK AND WHITE CAT BOWL,6,2.1,12.6,2011,February,Tuesday,2 PM,Weekday
BLACK AND WHITE CAT BOWL,1,2.1,2.1,2011,February,Monday,1 PM,Weekday
BLACK AND WHITE CAT BOWL,2,2.1,4.2,2011,January,Sunday,10 AM,Weekend
BLACK AND WHITE CAT BOWL,2,2.1,4.2,2011,January,Sunday,1 PM,Weekend
BLACK AND WHITE CAT BOWL,1,4.13,4.13,2011,January,Monday,3 PM,Weekday
BLACK AND WHITE CAT BOWL,1,4.13,4.13,2011,January,Tuesday,4 PM,Weekday
BLACK AND WHITE CAT BOWL,1,4.13,4.13,2011,December,Thursday,4 PM,Weekday
BLACK AND WHITE CAT BOWL,1,4.13,4.13,2011,December,Friday,4 PM,Weekday
