Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLACK BIRD GARDEN DESIGN MUG,1,16.13,16.13,2011,January,Wednesday,3 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,1.25,7.5,2011,January,Sunday,10 AM,Weekend
BLACK BIRD GARDEN DESIGN MUG,2,0.39,0.78,2011,March,Thursday,7 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,March,Friday,1 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,4,0.39,1.56,2011,April,Sunday,3 PM,Weekend
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,April,Friday,11 AM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,April,Tuesday,11 AM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,June,Monday,8 AM,Weekday
BLACK BIRD GARDEN DESIGN MUG,12,0.39,4.68,2011,July,Wednesday,1 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,July,Thursday,4 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,12,0.39,4.68,2011,July,Sunday,1 PM,Weekend
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,July,Tuesday,2 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,August,Thursday,3 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,3,0.39,1.17,2011,September,Monday,1 PM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,January,Friday,11 AM,Weekday
BLACK BIRD GARDEN DESIGN MUG,12,0.39,4.68,2011,January,Friday,11 AM,Weekday
BLACK BIRD GARDEN DESIGN MUG,6,0.39,2.34,2011,January,Sunday,4 PM,Weekend
