Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLACK ORANGE SQUEEZER,12,0.42,5.04,2010,December,Wednesday,12 PM,Weekday
BLACK ORANGE SQUEEZER,1,0.42,0.42,2010,December,Sunday,12 PM,Weekend
BLACK ORANGE SQUEEZER,4,0.42,1.68,2011,January,Thursday,3 PM,Weekday
BLACK ORANGE SQUEEZER,10,0.42,4.2,2011,February,Thursday,10 AM,Weekday
BLACK ORANGE SQUEEZER,1,0.42,0.42,2011,March,Monday,11 AM,Weekday
BLACK ORANGE SQUEEZER,2,0.42,0.84,2011,March,Thursday,1 PM,Weekday
BLACK ORANGE SQUEEZER,1,0.42,0.42,2011,May,Monday,4 PM,Weekday
BLACK ORANGE SQUEEZER,9,0.42,3.78,2011,May,Friday,2 PM,Weekday
BLACK ORANGE SQUEEZER,1,0.42,0.42,2011,June,Monday,2 PM,Weekday
BLACK ORANGE SQUEEZER,2,0.42,0.84,2011,June,Monday,2 PM,Weekday
BLACK ORANGE SQUEEZER,20,0.42,8.4,2011,July,Monday,1 PM,Weekday
BLACK ORANGE SQUEEZER,4,0.42,1.68,2011,July,Monday,9 AM,Weekday
BLACK ORANGE SQUEEZER,10,0.42,4.2,2011,August,Thursday,9 AM,Weekday
BLACK ORANGE SQUEEZER,20,0.42,8.4,2011,September,Thursday,2 PM,Weekday
BLACK ORANGE SQUEEZER,10,0.42,4.2,2011,September,Friday,10 AM,Weekday
BLACK ORANGE SQUEEZER,5,0.42,2.1,2011,February,Wednesday,1 PM,Weekday
BLACK ORANGE SQUEEZER,7,0.42,2.94,2011,January,Sunday,2 PM,Weekend
BLACK ORANGE SQUEEZER,6,0.42,2.52,2011,January,Tuesday,2 PM,Weekday
BLACK ORANGE SQUEEZER,6,0.42,2.52,2011,January,Friday,10 AM,Weekday
BLACK ORANGE SQUEEZER,1,0.42,0.42,2011,January,Sunday,4 PM,Weekend
BLACK ORANGE SQUEEZER,6,0.42,2.52,2011,January,Tuesday,5 PM,Weekday
