Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2010,December,Wednesday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Wednesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Monday,9 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,3.36,6.72,2010,December,Monday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Monday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2010,December,Tuesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Tuesday,6 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,3.36,6.72,2010,December,Wednesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,3,3.36,10.08,2010,December,Monday,9 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Monday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2010,December,Wednesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,4,1.65,6.6,2010,December,Sunday,11 AM,Weekend
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Thursday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.36,3.36,2011,January,Monday,9 AM,Weekday
BLACK PIRATE TREASURE CHEST,3,4.13,12.39,2011,January,Tuesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,January,Friday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Monday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,8,1.65,13.2,2011,January,Wednesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Monday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Monday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,February,Monday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,February,Thursday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Thursday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,February,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,4.13,8.26,2011,February,Wednesday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,4.13,8.26,2011,February,Friday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Thursday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,March,Monday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,March,Friday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Sunday,10 AM,Weekend
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,March,Sunday,2 PM,Weekend
BLACK PIRATE TREASURE CHEST,3,1.65,4.95,2011,March,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,4.13,8.26,2011,March,Friday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,4,1.65,6.6,2011,March,Monday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Tuesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Friday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,4,1.65,6.6,2011,March,Monday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Monday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,12,4.13,49.56,2011,April,Friday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,April,Thursday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,24,1.65,39.6,2011,April,Wednesday,8 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,May,Tuesday,9 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,May,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,May,Sunday,1 PM,Weekend
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,May,Tuesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,May,Tuesday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,May,Thursday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,3,4.13,12.39,2011,May,Friday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,June,Wednesday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,3,4.13,12.39,2011,June,Wednesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,June,Friday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,June,Sunday,1 PM,Weekend
BLACK PIRATE TREASURE CHEST,3,4.13,12.39,2011,June,Tuesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,June,Wednesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,June,Wednesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,June,Friday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,4.13,8.26,2011,June,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,4.13,8.26,2011,June,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,4.13,8.26,2011,July,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,July,Wednesday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,July,Wednesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,12,1.65,19.8,2011,July,Friday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,4.13,8.26,2011,July,Friday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,July,Sunday,4 PM,Weekend
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,July,Tuesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,July,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,July,Wednesday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,July,Friday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,12,1.65,19.8,2011,July,Monday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,July,Friday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,July,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,July,Wednesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,July,Sunday,2 PM,Weekend
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,August,Tuesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,August,Wednesday,9 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,August,Tuesday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,September,Monday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,September,Wednesday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,September,Sunday,1 PM,Weekend
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,September,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,September,Wednesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,September,Thursday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,September,Thursday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,12,1.65,19.8,2011,September,Thursday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,September,Monday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,4.13,4.13,2011,September,Tuesday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,September,Wednesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,September,Wednesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,September,Wednesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,September,Wednesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,February,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,February,Monday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Monday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,42,1.65,69.3,2011,February,Tuesday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Friday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Monday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,February,Tuesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,12,1.65,19.8,2011,February,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,February,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,February,Tuesday,5 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Sunday,4 PM,Weekend
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Thursday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,6,1.65,9.9,2011,February,Monday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,February,Monday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,24,1.65,39.6,2011,January,Thursday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Friday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Friday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Sunday,1 PM,Weekend
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Monday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,3.29,6.58,2011,January,Tuesday,6 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Wednesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Friday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Sunday,11 AM,Weekend
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Sunday,3 PM,Weekend
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Monday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Monday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Tuesday,5 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Wednesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Thursday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Sunday,12 PM,Weekend
BLACK PIRATE TREASURE CHEST,2,3.29,6.58,2011,January,Tuesday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,1.65,1.65,2011,January,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Friday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,1.65,3.3,2011,January,Sunday,4 PM,Weekend
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,6,0.39,2.34,2011,December,Monday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,0.39,0.78,2011,December,Monday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,4,0.39,1.56,2011,December,Monday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,48,0.39,18.72,2011,December,Monday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,December,Monday,5 PM,Weekday
BLACK PIRATE TREASURE CHEST,4,0.39,1.56,2011,December,Tuesday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,6,0.39,2.34,2011,December,Tuesday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,2,0.39,0.78,2011,December,Tuesday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,0.39,0.39,2011,December,Tuesday,12 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,December,Tuesday,4 PM,Weekday
BLACK PIRATE TREASURE CHEST,18,0.39,7.02,2011,December,Wednesday,1 PM,Weekday
BLACK PIRATE TREASURE CHEST,48,0.39,18.72,2011,December,Thursday,9 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,0.39,0.39,2011,December,Thursday,2 PM,Weekday
BLACK PIRATE TREASURE CHEST,10,0.39,3.9,2011,December,Thursday,3 PM,Weekday
BLACK PIRATE TREASURE CHEST,2,0.39,0.78,2011,December,Thursday,7 PM,Weekday
BLACK PIRATE TREASURE CHEST,1,3.29,3.29,2011,December,Friday,10 AM,Weekday
BLACK PIRATE TREASURE CHEST,14,0.39,5.46,2011,December,Friday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,0.39,0.39,2011,December,Friday,11 AM,Weekday
BLACK PIRATE TREASURE CHEST,1,0.39,0.39,2011,December,Friday,11 AM,Weekday
