Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLACK STITCHED WALL CLOCK,1,7.62,7.62,2010,December,Thursday,4 PM,Weekday
BLACK STITCHED WALL CLOCK,20,1.25,25.0,2010,December,Sunday,1 PM,Weekend
BLACK STITCHED WALL CLOCK,20,1.25,25.0,2010,December,Monday,3 PM,Weekday
BLACK STITCHED WALL CLOCK,40,1.25,50.0,2010,December,Tuesday,12 PM,Weekday
BLACK STITCHED WALL CLOCK,20,1.25,25.0,2010,December,Wednesday,9 AM,Weekday
BLACK STITCHED WALL CLOCK,20,1.25,25.0,2010,December,Thursday,10 AM,Weekday
BLACK STITCHED WALL CLOCK,20,1.25,25.0,2010,December,Friday,3 PM,Weekday
BLACK STITCHED WALL CLOCK,1,3.36,3.36,2011,January,Thursday,2 PM,Weekday
BLACK STITCHED WALL CLOCK,20,1.25,25.0,2011,January,Friday,9 AM,Weekday
BLACK STITCHED WALL CLOCK,1,3.36,3.36,2011,January,Friday,1 PM,Weekday
BLACK STITCHED WALL CLOCK,1,3.36,3.36,2011,January,Monday,4 PM,Weekday
BLACK STITCHED WALL CLOCK,2,3.36,6.72,2011,January,Tuesday,1 PM,Weekday
BLACK STITCHED WALL CLOCK,1,3.29,3.29,2011,January,Thursday,9 AM,Weekday
BLACK STITCHED WALL CLOCK,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
BLACK STITCHED WALL CLOCK,1,3.29,3.29,2011,January,Wednesday,3 PM,Weekday
BLACK STITCHED WALL CLOCK,1,3.29,3.29,2011,January,Thursday,6 PM,Weekday
BLACK STITCHED WALL CLOCK,1,7.46,7.46,2011,February,Tuesday,10 AM,Weekday
BLACK STITCHED WALL CLOCK,24,1.25,30.0,2011,February,Thursday,12 PM,Weekday
BLACK STITCHED WALL CLOCK,1,3.75,3.75,2011,March,Wednesday,5 PM,Weekday
BLACK STITCHED WALL CLOCK,1,3.75,3.75,2011,April,Thursday,6 PM,Weekday
BLACK STITCHED WALL CLOCK,2,3.75,7.5,2011,April,Friday,3 PM,Weekday
BLACK STITCHED WALL CLOCK,40,1.25,50.0,2011,May,Wednesday,11 AM,Weekday
BLACK STITCHED WALL CLOCK,1,7.46,7.46,2011,May,Monday,4 PM,Weekday
BLACK STITCHED WALL CLOCK,4,3.75,15.0,2011,June,Monday,8 AM,Weekday
BLACK STITCHED WALL CLOCK,2,0.79,1.58,2011,July,Monday,4 PM,Weekday
BLACK STITCHED WALL CLOCK,4,3.75,15.0,2011,July,Wednesday,9 AM,Weekday
BLACK STITCHED WALL CLOCK,20,0.79,15.8,2011,July,Wednesday,12 PM,Weekday
BLACK STITCHED WALL CLOCK,20,0.79,15.8,2011,July,Monday,10 AM,Weekday
BLACK STITCHED WALL CLOCK,2,0.79,1.58,2011,July,Wednesday,3 PM,Weekday
BLACK STITCHED WALL CLOCK,2,0.79,1.58,2011,July,Wednesday,3 PM,Weekday
BLACK STITCHED WALL CLOCK,3,0.79,2.37,2011,July,Thursday,12 PM,Weekday
BLACK STITCHED WALL CLOCK,20,0.79,15.8,2011,July,Monday,12 PM,Weekday
BLACK STITCHED WALL CLOCK,100,0.79,79.0,2011,July,Thursday,11 AM,Weekday
BLACK STITCHED WALL CLOCK,3,0.79,2.37,2011,July,Thursday,12 PM,Weekday
BLACK STITCHED WALL CLOCK,20,0.79,15.8,2011,July,Thursday,4 PM,Weekday
BLACK STITCHED WALL CLOCK,1,0.79,0.79,2011,July,Sunday,10 AM,Weekend
BLACK STITCHED WALL CLOCK,20,0.79,15.8,2011,July,Thursday,3 PM,Weekday
BLACK STITCHED WALL CLOCK,40,0.79,31.6,2011,August,Thursday,12 PM,Weekday
BLACK STITCHED WALL CLOCK,1,0.79,0.79,2011,August,Wednesday,10 AM,Weekday
BLACK STITCHED WALL CLOCK,2,0.79,1.58,2011,August,Monday,1 PM,Weekday
BLACK STITCHED WALL CLOCK,120,0.79,94.8,2011,August,Wednesday,1 PM,Weekday
BLACK STITCHED WALL CLOCK,86,0.79,67.94,2011,September,Thursday,2 PM,Weekday
BLACK STITCHED WALL CLOCK,1,7.46,7.46,2011,September,Wednesday,12 PM,Weekday
