Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2010,December,Friday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2010,December,Monday,12 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2010,December,Tuesday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,3,2.55,7.65,2010,December,Wednesday,1 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,5.06,5.06,2010,December,Friday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,5.06,5.06,2010,December,Friday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,January,Tuesday,12 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2011,March,Wednesday,11 AM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,4.96,4.96,2011,March,Wednesday,4 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,March,Sunday,2 PM,Weekend
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,April,Thursday,11 AM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,April,Thursday,11 AM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,April,Wednesday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,6,2.55,15.3,2011,April,Thursday,12 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,3,2.55,7.65,2011,April,Wednesday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2011,May,Thursday,10 AM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,May,Thursday,1 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2011,May,Thursday,1 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,6,2.55,15.3,2011,May,Sunday,10 AM,Weekend
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2011,May,Sunday,2 PM,Weekend
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2011,June,Thursday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,4,2.55,10.2,2011,June,Sunday,3 PM,Weekend
BLUE CIRCLES DESIGN MONKEY DOLL,6,2.55,15.3,2011,June,Thursday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,June,Wednesday,12 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,1,2.55,2.55,2011,June,Thursday,2 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,June,Thursday,12 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,3,2.55,7.65,2011,July,Thursday,1 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,2,2.55,5.1,2011,August,Thursday,12 PM,Weekday
BLUE CIRCLES DESIGN MONKEY DOLL,5,2.55,12.75,2011,February,Sunday,11 AM,Weekend
