Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2010,December,Wednesday,8 AM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2010,December,Wednesday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2010,December,Thursday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Friday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Friday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2010,December,Friday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2010,December,Sunday,1 PM,Weekend
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Sunday,1 PM,Weekend
BLUE COAT RACK PARIS FASHION,1,11.02,11.02,2010,December,Monday,4 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,11.02,11.02,2010,December,Tuesday,6 PM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2010,December,Thursday,12 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Thursday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Thursday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Thursday,4 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2010,December,Friday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Sunday,4 PM,Weekend
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2010,December,Monday,10 AM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2010,December,Tuesday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2010,December,Tuesday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2010,December,Wednesday,3 PM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2010,December,Friday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,11.02,11.02,2010,December,Monday,10 AM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,January,Tuesday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,January,Wednesday,3 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,January,Thursday,12 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,11.02,11.02,2011,January,Friday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,January,Monday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,January,Thursday,12 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,January,Sunday,11 AM,Weekend
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,January,Sunday,3 PM,Weekend
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,January,Wednesday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,January,Friday,12 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,January,Tuesday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,January,Thursday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,January,Thursday,3 PM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2011,February,Tuesday,10 AM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2011,February,Tuesday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,February,Tuesday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,February,Wednesday,3 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,February,Friday,10 AM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,February,Monday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,February,Monday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,February,Tuesday,5 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,February,Friday,10 AM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2011,February,Sunday,12 PM,Weekend
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,February,Sunday,2 PM,Weekend
BLUE COAT RACK PARIS FASHION,1,10.79,10.79,2011,February,Monday,9 AM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,February,Tuesday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,February,Wednesday,9 AM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2011,February,Wednesday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,February,Wednesday,3 PM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2011,February,Thursday,12 PM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,February,Sunday,2 PM,Weekend
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,February,Monday,3 PM,Weekday
BLUE COAT RACK PARIS FASHION,3,4.95,14.85,2011,February,Wednesday,9 AM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,February,Sunday,2 PM,Weekend
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,March,Tuesday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,March,Wednesday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2011,March,Monday,9 AM,Weekday
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,March,Monday,2 PM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,March,Wednesday,1 PM,Weekday
BLUE COAT RACK PARIS FASHION,2,4.95,9.9,2011,March,Sunday,10 AM,Weekend
BLUE COAT RACK PARIS FASHION,1,4.95,4.95,2011,March,Monday,11 AM,Weekday
BLUE COAT RACK PARIS FASHION,6,4.95,29.7,2011,March,Tuesday,2 PM,Weekday
