Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE FELT HANGING HEART WITH FLOWER,3,0.63,1.89,2011,June,Tuesday,5 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,2,0.63,1.26,2011,June,Wednesday,5 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,June,Monday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,2,0.63,1.26,2011,June,Monday,9 AM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,June,Thursday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,2,0.63,1.26,2011,June,Wednesday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,5,0.63,3.15,2011,June,Thursday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,2,0.63,1.26,2011,July,Monday,10 AM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,July,Tuesday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,July,Wednesday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,July,Monday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,3,0.63,1.89,2011,July,Thursday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,3,0.63,1.89,2011,July,Monday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,2,0.63,1.26,2011,July,Wednesday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,July,Wednesday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,July,Friday,9 AM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,8,0.63,5.04,2011,July,Monday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,2,0.63,1.26,2011,July,Monday,5 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,5,0.63,3.15,2011,July,Monday,5 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,4,0.63,2.52,2011,July,Tuesday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,July,Wednesday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,July,Thursday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,August,Thursday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,August,Tuesday,5 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,6,0.63,3.78,2011,August,Wednesday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,6,0.63,3.78,2011,August,Friday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,0.63,0.63,2011,August,Friday,4 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,6,0.85,5.1,2011,August,Sunday,12 PM,Weekend
BLUE FELT HANGING HEART WITH FLOWER,1,1.63,1.63,2011,September,Monday,3 PM,Weekday
BLUE FELT HANGING HEART WITH FLOWER,1,1.63,1.63,2011,February,Tuesday,5 PM,Weekday
