Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE KNITTED HEN,2,1.65,3.3,2010,December,Friday,11 AM,Weekday
BLUE KNITTED HEN,10,1.65,16.5,2011,January,Wednesday,3 PM,Weekday
BLUE KNITTED HEN,1,1.65,1.65,2011,January,Monday,2 PM,Weekday
BLUE KNITTED HEN,3,0.83,2.49,2011,February,Friday,10 AM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,February,Monday,9 AM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,February,Monday,12 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,February,Tuesday,5 PM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,February,Wednesday,3 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,February,Thursday,3 PM,Weekday
BLUE KNITTED HEN,5,0.83,4.15,2011,February,Tuesday,4 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,February,Wednesday,3 PM,Weekday
BLUE KNITTED HEN,4,0.83,3.32,2011,February,Thursday,6 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,February,Monday,10 AM,Weekday
BLUE KNITTED HEN,5,0.83,4.15,2011,February,Monday,4 PM,Weekday
BLUE KNITTED HEN,6,0.83,4.98,2011,February,Monday,4 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,February,Monday,4 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Tuesday,9 AM,Weekday
BLUE KNITTED HEN,3,0.83,2.49,2011,March,Tuesday,4 PM,Weekday
BLUE KNITTED HEN,8,0.83,6.64,2011,March,Thursday,4 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Friday,8 AM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,March,Friday,4 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Monday,1 PM,Weekday
BLUE KNITTED HEN,7,0.83,5.81,2011,March,Monday,5 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,March,Monday,5 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Tuesday,3 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,March,Tuesday,3 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,March,Tuesday,3 PM,Weekday
BLUE KNITTED HEN,7,0.83,5.81,2011,March,Wednesday,4 PM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,March,Thursday,4 PM,Weekday
BLUE KNITTED HEN,8,0.83,6.64,2011,March,Friday,4 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Tuesday,9 AM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Wednesday,2 PM,Weekday
BLUE KNITTED HEN,12,1.65,19.8,2011,March,Thursday,9 AM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,March,Thursday,6 PM,Weekday
BLUE KNITTED HEN,17,0.83,14.11,2011,March,Thursday,6 PM,Weekday
BLUE KNITTED HEN,4,0.83,3.32,2011,March,Thursday,6 PM,Weekday
BLUE KNITTED HEN,4,0.83,3.32,2011,March,Thursday,6 PM,Weekday
BLUE KNITTED HEN,4,0.83,3.32,2011,March,Sunday,11 AM,Weekend
BLUE KNITTED HEN,12,1.65,19.8,2011,March,Tuesday,9 AM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,March,Tuesday,9 AM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,March,Tuesday,9 AM,Weekday
BLUE KNITTED HEN,13,0.83,10.79,2011,March,Tuesday,3 PM,Weekday
BLUE KNITTED HEN,3,0.83,2.49,2011,March,Tuesday,3 PM,Weekday
BLUE KNITTED HEN,2,0.83,1.66,2011,March,Wednesday,3 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,March,Friday,12 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Monday,12 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Monday,2 PM,Weekday
BLUE KNITTED HEN,6,1.65,9.9,2011,March,Monday,2 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,March,Monday,3 PM,Weekday
BLUE KNITTED HEN,1,0.83,0.83,2011,September,Friday,5 PM,Weekday
