Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2010,December,Wednesday,12 PM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2010,December,Friday,2 PM,Weekday
BLUE PAISLEY NOTEBOOK,3,1.65,4.95,2010,December,Friday,2 PM,Weekday
BLUE PAISLEY NOTEBOOK,1,1.65,1.65,2010,December,Sunday,10 AM,Weekend
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2010,December,Sunday,4 PM,Weekend
BLUE PAISLEY NOTEBOOK,7,1.65,11.55,2010,December,Thursday,2 PM,Weekday
BLUE PAISLEY NOTEBOOK,3,1.65,4.95,2011,January,Sunday,2 PM,Weekend
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,February,Sunday,11 AM,Weekend
BLUE PAISLEY NOTEBOOK,1,1.65,1.65,2011,February,Wednesday,2 PM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,March,Monday,5 PM,Weekday
BLUE PAISLEY NOTEBOOK,3,1.65,4.95,2011,March,Tuesday,2 PM,Weekday
BLUE PAISLEY NOTEBOOK,1,1.65,1.65,2011,March,Thursday,1 PM,Weekday
BLUE PAISLEY NOTEBOOK,1,1.65,1.65,2011,March,Thursday,1 PM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,March,Tuesday,3 PM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,March,Friday,10 AM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,April,Monday,10 AM,Weekday
BLUE PAISLEY NOTEBOOK,1,1.65,1.65,2011,May,Wednesday,11 AM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,May,Friday,11 AM,Weekday
BLUE PAISLEY NOTEBOOK,3,1.65,4.95,2011,May,Sunday,11 AM,Weekend
BLUE PAISLEY NOTEBOOK,1,1.65,1.65,2011,June,Wednesday,5 PM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,June,Tuesday,10 AM,Weekday
BLUE PAISLEY NOTEBOOK,6,1.65,9.9,2011,July,Sunday,11 AM,Weekend
BLUE PAISLEY NOTEBOOK,3,1.65,4.95,2011,August,Monday,1 PM,Weekday
BLUE PAISLEY NOTEBOOK,2,1.65,3.3,2011,September,Monday,1 PM,Weekday
