Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE POLKADOT COFFEE MUG,2,2.1,4.2,2010,December,Thursday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,3,2.1,6.3,2010,December,Thursday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,1,2.1,2.1,2010,December,Monday,2 PM,Weekday
BLUE POLKADOT COFFEE MUG,2,4.13,8.26,2011,January,Thursday,9 AM,Weekday
BLUE POLKADOT COFFEE MUG,1,4.13,4.13,2011,February,Thursday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,1,2.1,2.1,2011,February,Sunday,3 PM,Weekend
BLUE POLKADOT COFFEE MUG,6,2.1,12.6,2011,February,Monday,9 AM,Weekday
BLUE POLKADOT COFFEE MUG,6,2.1,12.6,2011,February,Tuesday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,2,4.13,8.26,2011,March,Tuesday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,30,0.39,11.7,2011,March,Thursday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,March,Monday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Tuesday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,March,Tuesday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,30,0.39,11.7,2011,March,Thursday,7 PM,Weekday
BLUE POLKADOT COFFEE MUG,2,0.39,0.78,2011,March,Friday,12 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Tuesday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Wednesday,10 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Thursday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,12,0.39,4.68,2011,March,Thursday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,12,0.39,4.68,2011,March,Thursday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,12,0.39,4.68,2011,March,Thursday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Monday,7 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Monday,10 AM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,March,Monday,12 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Monday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Tuesday,9 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Tuesday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,1,1.63,1.63,2011,March,Tuesday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Wednesday,2 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Wednesday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Thursday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,March,Thursday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,April,Friday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,April,Sunday,11 AM,Weekend
BLUE POLKADOT COFFEE MUG,2,0.39,0.78,2011,April,Sunday,3 PM,Weekend
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,April,Monday,12 PM,Weekday
BLUE POLKADOT COFFEE MUG,5,1.63,8.15,2011,April,Tuesday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,96,0.39,37.44,2011,April,Wednesday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Wednesday,12 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Thursday,9 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Friday,10 AM,Weekday
BLUE POLKADOT COFFEE MUG,18,0.39,7.02,2011,April,Friday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,April,Sunday,2 PM,Weekend
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Tuesday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Wednesday,10 AM,Weekday
BLUE POLKADOT COFFEE MUG,12,0.39,4.68,2011,April,Friday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,12,0.39,4.68,2011,April,Monday,2 PM,Weekday
BLUE POLKADOT COFFEE MUG,96,0.39,37.44,2011,April,Tuesday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Tuesday,2 PM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,April,Tuesday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,96,0.39,37.44,2011,April,Wednesday,9 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Thursday,12 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Tuesday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Thursday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,April,Thursday,6 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,May,Wednesday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,May,Thursday,12 PM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,May,Thursday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,May,Thursday,6 PM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,May,Friday,10 AM,Weekday
BLUE POLKADOT COFFEE MUG,96,0.39,37.44,2011,May,Friday,10 AM,Weekday
BLUE POLKADOT COFFEE MUG,1,1.63,1.63,2011,May,Monday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,May,Tuesday,3 PM,Weekday
BLUE POLKADOT COFFEE MUG,4,1.63,6.52,2011,May,Tuesday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,6,0.39,2.34,2011,May,Wednesday,1 PM,Weekday
BLUE POLKADOT COFFEE MUG,24,0.39,9.36,2011,May,Wednesday,4 PM,Weekday
BLUE POLKADOT COFFEE MUG,12,0.39,4.68,2011,May,Tuesday,2 PM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,May,Thursday,11 AM,Weekday
BLUE POLKADOT COFFEE MUG,48,0.39,18.72,2011,May,Monday,2 PM,Weekday
BLUE POLKADOT COFFEE MUG,1,1.63,1.63,2011,May,Wednesday,5 PM,Weekday
BLUE POLKADOT COFFEE MUG,2,1.63,3.26,2011,June,Friday,5 PM,Weekday
BLUE POLKADOT COFFEE MUG,8,0.39,3.12,2011,June,Sunday,10 AM,Weekend
