Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE POLKADOT PASSPORT COVER,1,2.1,2.1,2010,December,Thursday,7 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Friday,11 AM,Weekday
BLUE POLKADOT PASSPORT COVER,1,2.1,2.1,2010,December,Friday,2 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,2.1,2.1,2010,December,Sunday,11 AM,Weekend
BLUE POLKADOT PASSPORT COVER,1,2.1,2.1,2010,December,Sunday,3 PM,Weekend
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Monday,9 AM,Weekday
BLUE POLKADOT PASSPORT COVER,3,4.21,12.63,2010,December,Monday,4 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Monday,11 AM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,2.1,2.1,2010,December,Thursday,7 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,2,4.21,8.42,2010,December,Tuesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,1.66,1.66,2010,December,Thursday,1 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,1.66,1.66,2011,January,Tuesday,1 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,1.66,1.66,2011,January,Thursday,2 PM,Weekday
BLUE POLKADOT PASSPORT COVER,2,1.66,3.32,2011,January,Friday,1 PM,Weekday
BLUE POLKADOT PASSPORT COVER,2,1.66,3.32,2011,January,Monday,9 AM,Weekday
BLUE POLKADOT PASSPORT COVER,3,1.66,4.98,2011,January,Monday,2 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,1.66,1.66,2011,January,Wednesday,9 AM,Weekday
BLUE POLKADOT PASSPORT COVER,2,1.66,3.32,2011,January,Wednesday,3 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,2.1,2.1,2011,January,Monday,1 PM,Weekday
BLUE POLKADOT PASSPORT COVER,2,1.63,3.26,2011,January,Monday,5 PM,Weekday
BLUE POLKADOT PASSPORT COVER,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
BLUE POLKADOT PASSPORT COVER,2,1.63,3.26,2011,January,Monday,5 PM,Weekday
BLUE POLKADOT PASSPORT COVER,2,4.13,8.26,2011,January,Tuesday,4 PM,Weekday
BLUE POLKADOT PASSPORT COVER,2,2.1,4.2,2011,January,Wednesday,11 AM,Weekday
