Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2010,December,Sunday,3 PM,Weekend
BLUE PUDDING SPOON,5,0.42,2.1,2010,December,Sunday,3 PM,Weekend
BLUE PUDDING SPOON,1,0.85,0.85,2010,December,Monday,4 PM,Weekday
BLUE PUDDING SPOON,6,0.42,2.52,2010,December,Monday,3 PM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2010,December,Thursday,11 AM,Weekday
BLUE PUDDING SPOON,1,0.83,0.83,2011,January,Monday,9 AM,Weekday
BLUE PUDDING SPOON,12,0.42,5.04,2011,January,Thursday,1 PM,Weekday
BLUE PUDDING SPOON,1,0.83,0.83,2011,February,Tuesday,3 PM,Weekday
BLUE PUDDING SPOON,12,0.42,5.04,2011,March,Tuesday,9 AM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2011,March,Friday,4 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Monday,3 PM,Weekday
BLUE PUDDING SPOON,4,0.42,1.68,2011,March,Thursday,6 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Sunday,11 AM,Weekend
BLUE PUDDING SPOON,10,0.12,1.2,2011,March,Sunday,1 PM,Weekend
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Wednesday,10 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Monday,7 AM,Weekday
BLUE PUDDING SPOON,6,0.12,0.72,2011,March,Monday,12 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Monday,1 PM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2011,March,Monday,3 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Tuesday,11 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Thursday,1 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,March,Thursday,4 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,April,Sunday,12 PM,Weekend
BLUE PUDDING SPOON,1,0.42,0.42,2011,April,Tuesday,4 PM,Weekday
BLUE PUDDING SPOON,48,0.12,5.76,2011,April,Wednesday,1 PM,Weekday
BLUE PUDDING SPOON,3,0.12,0.36,2011,April,Thursday,12 PM,Weekday
BLUE PUDDING SPOON,3,0.42,1.26,2011,April,Monday,1 PM,Weekday
BLUE PUDDING SPOON,1,0.12,0.12,2011,April,Tuesday,4 PM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2011,April,Thursday,6 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,May,Friday,10 AM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2011,May,Friday,3 PM,Weekday
BLUE PUDDING SPOON,6,0.12,0.72,2011,May,Friday,1 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,May,Tuesday,4 PM,Weekday
BLUE PUDDING SPOON,3,0.42,1.26,2011,May,Thursday,4 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,June,Thursday,12 PM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2011,June,Thursday,4 PM,Weekday
BLUE PUDDING SPOON,2,0.42,0.84,2011,June,Wednesday,3 PM,Weekday
BLUE PUDDING SPOON,3,0.12,0.36,2011,June,Thursday,12 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,June,Friday,12 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,July,Monday,2 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,July,Wednesday,9 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,July,Wednesday,4 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,July,Friday,1 PM,Weekday
BLUE PUDDING SPOON,6,0.12,0.72,2011,July,Monday,5 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,July,Friday,4 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,July,Monday,3 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,July,Thursday,10 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,August,Thursday,4 PM,Weekday
BLUE PUDDING SPOON,2,0.42,0.84,2011,August,Friday,4 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,August,Friday,10 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,August,Tuesday,5 PM,Weekday
BLUE PUDDING SPOON,2,0.42,0.84,2011,August,Tuesday,10 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,August,Wednesday,10 AM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2011,August,Wednesday,3 PM,Weekday
BLUE PUDDING SPOON,3,0.12,0.36,2011,September,Sunday,11 AM,Weekend
BLUE PUDDING SPOON,24,0.12,2.88,2011,September,Monday,9 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,September,Wednesday,11 AM,Weekday
BLUE PUDDING SPOON,8,0.12,0.96,2011,September,Wednesday,5 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,September,Thursday,2 PM,Weekday
BLUE PUDDING SPOON,48,0.12,5.76,2011,September,Thursday,4 PM,Weekday
BLUE PUDDING SPOON,2,0.42,0.84,2011,September,Thursday,3 PM,Weekday
BLUE PUDDING SPOON,6,0.12,0.72,2011,February,Sunday,3 PM,Weekend
BLUE PUDDING SPOON,4,0.12,0.48,2011,February,Monday,3 PM,Weekday
BLUE PUDDING SPOON,12,0.12,1.44,2011,February,Tuesday,3 PM,Weekday
BLUE PUDDING SPOON,1,0.42,0.42,2011,February,Friday,3 PM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,February,Monday,10 AM,Weekday
BLUE PUDDING SPOON,24,0.12,2.88,2011,February,Thursday,8 AM,Weekday
