Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BLUE ROUND COMPACT MIRROR,1,3.75,3.75,2010,December,Friday,2 PM,Weekday
BLUE ROUND COMPACT MIRROR,4,3.75,15.0,2010,December,Thursday,11 AM,Weekday
BLUE ROUND COMPACT MIRROR,1,3.36,3.36,2010,December,Thursday,2 PM,Weekday
BLUE ROUND COMPACT MIRROR,24,1.25,30.0,2010,December,Thursday,11 AM,Weekday
BLUE ROUND COMPACT MIRROR,1,3.29,3.29,2011,May,Thursday,3 PM,Weekday
BLUE ROUND COMPACT MIRROR,1,3.29,3.29,2011,May,Friday,3 PM,Weekday
BLUE ROUND COMPACT MIRROR,2,3.29,6.58,2011,June,Monday,3 PM,Weekday
BLUE ROUND COMPACT MIRROR,1,1.25,1.25,2011,July,Sunday,3 PM,Weekend
BLUE ROUND COMPACT MIRROR,1,3.29,3.29,2011,July,Monday,10 AM,Weekday
BLUE ROUND COMPACT MIRROR,24,1.25,30.0,2011,July,Monday,10 AM,Weekday
BLUE ROUND COMPACT MIRROR,1,1.25,1.25,2011,July,Tuesday,1 PM,Weekday
BLUE ROUND COMPACT MIRROR,24,1.25,30.0,2011,July,Friday,12 PM,Weekday
BLUE ROUND COMPACT MIRROR,2,1.25,2.5,2011,August,Friday,3 PM,Weekday
BLUE ROUND COMPACT MIRROR,2,3.29,6.58,2011,August,Monday,3 PM,Weekday
BLUE ROUND COMPACT MIRROR,1,3.29,3.29,2011,August,Tuesday,10 AM,Weekday
BLUE ROUND COMPACT MIRROR,4,1.25,5.0,2011,August,Tuesday,4 PM,Weekday
BLUE ROUND COMPACT MIRROR,1,1.25,1.25,2011,September,Monday,4 PM,Weekday
BLUE ROUND COMPACT MIRROR,1,1.25,1.25,2011,September,Sunday,4 PM,Weekend
BLUE ROUND COMPACT MIRROR,1,1.25,1.25,2011,September,Sunday,4 PM,Weekend
