Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BREAD BIN DINER STYLE RED,4,14.95,59.8,2010,December,Wednesday,3 PM,Weekday
BREAD BIN DINER STYLE RED,8,14.95,119.6,2010,December,Wednesday,4 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2010,December,Thursday,4 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2010,December,Friday,12 PM,Weekday
BREAD BIN DINER STYLE RED,2,16.95,33.9,2010,December,Friday,2 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2010,December,Sunday,11 AM,Weekend
BREAD BIN DINER STYLE RED,2,16.95,33.9,2010,December,Monday,3 PM,Weekday
BREAD BIN DINER STYLE RED,4,14.95,59.8,2010,December,Tuesday,12 PM,Weekday
BREAD BIN DINER STYLE RED,1,34.0,34.0,2010,December,Tuesday,3 PM,Weekday
BREAD BIN DINER STYLE RED,4,14.95,59.8,2010,December,Wednesday,12 PM,Weekday
BREAD BIN DINER STYLE RED,2,16.95,33.9,2010,December,Thursday,12 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2010,December,Monday,9 AM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2010,December,Monday,1 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2010,December,Thursday,4 PM,Weekday
BREAD BIN DINER STYLE RED,1,34.0,34.0,2010,December,Friday,2 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2011,January,Tuesday,10 AM,Weekday
BREAD BIN DINER STYLE RED,2,16.95,33.9,2011,January,Tuesday,1 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2011,January,Wednesday,12 PM,Weekday
BREAD BIN DINER STYLE RED,2,16.95,33.9,2011,January,Thursday,9 AM,Weekday
BREAD BIN DINER STYLE RED,4,14.95,59.8,2011,January,Thursday,3 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2011,January,Thursday,6 PM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2011,January,Sunday,4 PM,Weekend
BREAD BIN DINER STYLE RED,1,16.95,16.95,2011,January,Monday,10 AM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2011,January,Monday,2 PM,Weekday
BREAD BIN DINER STYLE RED,2,16.95,33.9,2011,January,Tuesday,12 PM,Weekday
BREAD BIN DINER STYLE RED,4,14.95,59.8,2011,January,Wednesday,10 AM,Weekday
BREAD BIN DINER STYLE RED,1,16.95,16.95,2011,January,Wednesday,10 AM,Weekday
