Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Wednesday,2 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,3.36,6.72,2010,December,Friday,11 AM,Weekday
BROWN  PIRATE TREASURE CHEST,2,4.21,8.42,2010,December,Friday,2 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,1.65,1.65,2010,December,Sunday,3 PM,Weekend
BROWN  PIRATE TREASURE CHEST,3,3.36,10.08,2010,December,Monday,10 AM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Monday,4 PM,Weekday
BROWN  PIRATE TREASURE CHEST,4,4.21,16.84,2010,December,Tuesday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Tuesday,6 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Thursday,2 PM,Weekday
BROWN  PIRATE TREASURE CHEST,12,1.65,19.8,2010,December,Friday,10 AM,Weekday
BROWN  PIRATE TREASURE CHEST,2,4.21,8.42,2010,December,Friday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,3,4.21,12.63,2010,December,Tuesday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Friday,5 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.36,3.36,2010,December,Monday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,10,4.21,42.1,2010,December,Tuesday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.36,3.36,2011,January,Tuesday,1 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,4.21,8.42,2011,January,Thursday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,3.36,6.72,2011,January,Monday,9 AM,Weekday
BROWN  PIRATE TREASURE CHEST,3,4.13,12.39,2011,January,Tuesday,2 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,January,Friday,2 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
BROWN  PIRATE TREASURE CHEST,3,4.13,12.39,2011,January,Tuesday,2 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,January,Friday,2 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,4.13,8.26,2011,January,Tuesday,1 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,January,Monday,10 AM,Weekday
BROWN  PIRATE TREASURE CHEST,4,4.13,16.52,2011,February,Friday,1 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,February,Tuesday,12 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Thursday,4 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,February,Friday,11 AM,Weekday
BROWN  PIRATE TREASURE CHEST,1,1.65,1.65,2011,February,Thursday,7 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,1.65,3.3,2011,February,Thursday,7 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,February,Wednesday,11 AM,Weekday
BROWN  PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Tuesday,4 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Thursday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Sunday,10 AM,Weekend
BROWN  PIRATE TREASURE CHEST,2,1.65,3.3,2011,March,Tuesday,4 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.29,3.29,2011,March,Thursday,6 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,March,Tuesday,1 PM,Weekday
BROWN  PIRATE TREASURE CHEST,4,4.13,16.52,2011,March,Tuesday,1 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.29,3.29,2011,March,Wednesday,4 PM,Weekday
BROWN  PIRATE TREASURE CHEST,12,1.65,19.8,2011,March,Thursday,1 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,4.13,8.26,2011,April,Friday,10 AM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,April,Tuesday,9 AM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,April,Tuesday,9 AM,Weekday
BROWN  PIRATE TREASURE CHEST,1,4.13,4.13,2011,May,Tuesday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,4.13,8.26,2011,May,Tuesday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,1,3.29,3.29,2011,May,Wednesday,3 PM,Weekday
BROWN  PIRATE TREASURE CHEST,2,1.65,3.3,2011,May,Tuesday,2 PM,Weekday
