Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Tuesday,8 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,1,1.65,1.65,2011,May,Tuesday,9 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Wednesday,12 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Wednesday,1 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Thursday,9 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Thursday,12 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,May,Thursday,3 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,May,Thursday,4 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,May,Thursday,4 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,1,3.29,3.29,2011,May,Thursday,6 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Friday,8 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,48,1.45,69.6,2011,May,Friday,10 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,1,3.29,3.29,2011,May,Friday,3 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Monday,11 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Monday,2 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,May,Monday,3 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Tuesday,9 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,3,1.65,4.95,2011,May,Tuesday,12 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,3,1.65,4.95,2011,May,Tuesday,2 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,48,1.45,69.6,2011,May,Tuesday,3 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,1,3.29,3.29,2011,May,Tuesday,4 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,May,Tuesday,4 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Wednesday,1 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,24,1.65,39.6,2011,May,Wednesday,3 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,1,3.29,3.29,2011,May,Wednesday,4 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Thursday,12 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Friday,1 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,3,1.65,4.95,2011,May,Sunday,12 PM,Weekend
BUNDLE OF 3 RETRO NOTE BOOKS,1,1.65,1.65,2011,May,Monday,12 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,2,3.29,6.58,2011,May,Monday,3 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,24,1.65,39.6,2011,May,Tuesday,9 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,1,3.29,3.29,2011,May,Tuesday,3 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Wednesday,12 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,May,Thursday,9 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,1,1.65,1.65,2011,May,Sunday,2 PM,Weekend
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,June,Wednesday,8 AM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,2,3.29,6.58,2011,June,Wednesday,5 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,June,Friday,12 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,June,Sunday,1 PM,Weekend
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,June,Sunday,3 PM,Weekend
BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,June,Tuesday,1 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,June,Wednesday,4 PM,Weekday
BUNDLE OF 3 RETRO NOTE BOOKS,12,1.65,19.8,2011,June,Thursday,9 AM,Weekday
