Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
BUNNY DECORATION MAGIC GARDEN,11,0.81,8.91,2010,December,Thursday,1 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,5,0.81,4.05,2011,January,Tuesday,1 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,2,0.81,1.62,2011,January,Wednesday,11 AM,Weekday
BUNNY DECORATION MAGIC GARDEN,5,0.81,4.05,2011,January,Friday,11 AM,Weekday
BUNNY DECORATION MAGIC GARDEN,32,0.72,23.04,2011,January,Friday,1 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,2,0.81,1.62,2011,January,Friday,1 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,9,0.81,7.29,2011,January,Monday,9 AM,Weekday
BUNNY DECORATION MAGIC GARDEN,5,0.81,4.05,2011,January,Monday,2 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,4,0.81,3.24,2011,January,Monday,4 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,6,0.81,4.86,2011,January,Tuesday,1 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,7,0.81,5.67,2011,January,Wednesday,9 AM,Weekday
BUNNY DECORATION MAGIC GARDEN,7,0.81,5.67,2011,January,Wednesday,3 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,5,0.79,3.95,2011,January,Thursday,2 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,16,0.85,13.6,2011,January,Friday,10 AM,Weekday
BUNNY DECORATION MAGIC GARDEN,4,0.79,3.16,2011,January,Friday,2 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,2,0.85,1.7,2011,January,Sunday,2 PM,Weekend
BUNNY DECORATION MAGIC GARDEN,10,0.85,8.5,2011,January,Sunday,2 PM,Weekend
BUNNY DECORATION MAGIC GARDEN,3,0.85,2.55,2011,January,Monday,3 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,15,0.79,11.85,2011,January,Monday,5 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,9,0.79,7.11,2011,January,Monday,5 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,5,0.79,3.95,2011,January,Monday,5 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,3,0.79,2.37,2011,January,Tuesday,3 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,1,0.79,0.79,2011,January,Tuesday,5 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,8,0.79,6.32,2011,January,Wednesday,3 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,7,0.79,5.53,2011,January,Thursday,6 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,4,0.79,3.16,2011,January,Friday,5 PM,Weekday
BUNNY DECORATION MAGIC GARDEN,2,0.85,1.7,2011,January,Sunday,1 PM,Weekend
BUNNY DECORATION MAGIC GARDEN,4,0.85,3.4,2011,January,Sunday,1 PM,Weekend
BUNNY DECORATION MAGIC GARDEN,6,0.85,5.1,2011,January,Sunday,3 PM,Weekend
BUNNY DECORATION MAGIC GARDEN,2,0.85,1.7,2011,January,Wednesday,2 PM,Weekday
