Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2010,December,Friday,12 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2.51,5.02,2010,December,Monday,4 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,1.25,1.25,2010,December,Wednesday,12 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,4,1.25,5.0,2010,December,Sunday,11 AM,Weekend
CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2.51,5.02,2011,January,Monday,9 AM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,2,1.25,2.5,2011,January,Thursday,12 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,February,Thursday,5 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,3,2.46,7.38,2011,February,Monday,4 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,March,Thursday,4 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2.46,4.92,2011,March,Tuesday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,3,2.46,7.38,2011,March,Sunday,11 AM,Weekend
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,March,Friday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,March,Tuesday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,April,Monday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,April,Tuesday,5 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,April,Thursday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,May,Wednesday,4 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,2,1.25,2.5,2011,May,Monday,5 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,May,Sunday,12 PM,Weekend
CAMPHOR WOOD PORTOBELLO MUSHROOM,12,1.25,15.0,2011,May,Tuesday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,May,Tuesday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,June,Wednesday,5 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,June,Wednesday,5 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,June,Tuesday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,June,Sunday,3 PM,Weekend
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,June,Monday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,June,Friday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,4,1.25,5.0,2011,July,Tuesday,1 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,July,Thursday,4 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,July,Tuesday,4 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,July,Sunday,11 AM,Weekend
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,August,Tuesday,10 AM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,August,Tuesday,10 AM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,September,Thursday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,18,1.25,22.5,2011,February,Wednesday,12 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,2.46,2.46,2011,February,Wednesday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2.46,4.92,2011,February,Tuesday,4 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,February,Tuesday,3 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,February,Thursday,2 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,February,Thursday,2 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,2,1.25,2.5,2011,February,Sunday,1 PM,Weekend
CAMPHOR WOOD PORTOBELLO MUSHROOM,3,2.46,7.38,2011,February,Monday,2 PM,Weekday
CAMPHOR WOOD PORTOBELLO MUSHROOM,6,1.25,7.5,2011,January,Thursday,12 PM,Weekday
