Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Wednesday,11 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Wednesday,1 PM,Weekday
CARD CIRCUS PARADE,1,0.42,0.42,2010,December,Wednesday,2 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Thursday,4 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Sunday,3 PM,Weekend
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Monday,10 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Monday,11 AM,Weekday
CARD CIRCUS PARADE,1,0.85,0.85,2010,December,Tuesday,6 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Wednesday,1 PM,Weekday
CARD CIRCUS PARADE,1,0.85,0.85,2010,December,Wednesday,2 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Wednesday,4 PM,Weekday
CARD CIRCUS PARADE,1,0.85,0.85,2010,December,Thursday,2 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Friday,11 AM,Weekday
CARD CIRCUS PARADE,2,0.85,1.7,2010,December,Friday,2 PM,Weekday
CARD CIRCUS PARADE,24,0.42,10.08,2010,December,Tuesday,12 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Thursday,2 PM,Weekday
CARD CIRCUS PARADE,1,0.85,0.85,2010,December,Friday,4 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2010,December,Monday,12 PM,Weekday
CARD CIRCUS PARADE,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Tuesday,2 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Wednesday,11 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Wednesday,1 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Friday,9 AM,Weekday
CARD CIRCUS PARADE,1,0.85,0.85,2011,January,Friday,11 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Friday,2 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Monday,11 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Tuesday,12 PM,Weekday
CARD CIRCUS PARADE,1,0.85,0.85,2011,January,Wednesday,9 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Wednesday,4 PM,Weekday
CARD CIRCUS PARADE,1,0.83,0.83,2011,January,Friday,2 PM,Weekday
CARD CIRCUS PARADE,1,0.83,0.83,2011,January,Monday,5 PM,Weekday
CARD CIRCUS PARADE,1,0.83,0.83,2011,January,Monday,5 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Tuesday,1 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Wednesday,9 AM,Weekday
CARD CIRCUS PARADE,72,0.36,25.92,2011,January,Wednesday,12 PM,Weekday
CARD CIRCUS PARADE,2,0.83,1.66,2011,January,Monday,9 AM,Weekday
CARD CIRCUS PARADE,2,0.83,1.66,2011,January,Monday,1 PM,Weekday
CARD CIRCUS PARADE,1,0.83,0.83,2011,January,Monday,1 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Wednesday,12 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Thursday,8 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Thursday,10 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Thursday,12 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Thursday,1 PM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,January,Friday,3 PM,Weekday
CARD CIRCUS PARADE,72,0.36,25.92,2011,February,Tuesday,10 AM,Weekday
CARD CIRCUS PARADE,12,0.42,5.04,2011,February,Friday,12 PM,Weekday
CARD CIRCUS PARADE,1,0.83,0.83,2011,February,Monday,9 AM,Weekday
CARD CIRCUS PARADE,144,0.36,51.84,2011,February,Tuesday,9 AM,Weekday
