Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Wednesday,2 PM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Monday,12 PM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Monday,1 PM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Thursday,11 AM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Thursday,11 AM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Friday,10 AM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Friday,2 PM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Sunday,2 PM,Weekend
CARRIAGE,1,150.0,150.0,2010,December,Tuesday,11 AM,Weekday
CARRIAGE,1,50.0,50.0,2010,December,Thursday,2 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,January,Sunday,4 PM,Weekend
CARRIAGE,1,50.0,50.0,2011,January,Tuesday,10 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,January,Monday,2 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,January,Thursday,10 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,February,Friday,10 AM,Weekday
CARRIAGE,1,15.0,15.0,2011,February,Monday,12 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,February,Thursday,11 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,February,Friday,11 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,February,Friday,9 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Friday,12 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Monday,1 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Tuesday,12 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Thursday,10 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Monday,12 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Monday,3 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Wednesday,11 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Thursday,3 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Sunday,11 AM,Weekend
CARRIAGE,1,50.0,50.0,2011,March,Thursday,9 AM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Thursday,4 PM,Weekday
CARRIAGE,1,50.0,50.0,2011,March,Monday,7 AM,Weekday
