Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2010,December,Wednesday,10 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2010,December,Wednesday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,24,1.49,35.76,2010,December,Friday,9 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,January,Tuesday,2 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,January,Wednesday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,January,Thursday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,1,3.29,3.29,2011,February,Friday,9 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,February,Wednesday,2 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,February,Friday,10 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,February,Wednesday,9 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,8,1.49,11.92,2011,February,Thursday,12 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,February,Thursday,6 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,1,1.49,1.49,2011,February,Sunday,12 PM,Weekend
CERAMIC PLATE STRAWBERRY DESIGN,1,1.49,1.49,2011,March,Friday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,1,1.49,1.49,2011,March,Monday,11 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,24,1.49,35.76,2011,March,Tuesday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,March,Friday,11 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,March,Tuesday,9 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,April,Sunday,1 PM,Weekend
CERAMIC PLATE STRAWBERRY DESIGN,1,3.29,3.29,2011,April,Tuesday,9 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,May,Friday,10 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,1,3.29,3.29,2011,May,Tuesday,3 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,1,3.29,3.29,2011,May,Tuesday,3 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,2,1.49,2.98,2011,May,Thursday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,May,Friday,9 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,May,Friday,10 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,May,Monday,12 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,May,Monday,4 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,21,1.25,26.25,2011,June,Thursday,5 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,June,Monday,8 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,1,1.49,1.49,2011,June,Wednesday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,July,Sunday,4 PM,Weekend
CERAMIC PLATE STRAWBERRY DESIGN,60,1.25,75.0,2011,July,Tuesday,3 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,July,Monday,1 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,August,Monday,11 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,2,3.29,6.58,2011,August,Thursday,10 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,September,Thursday,12 PM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,5.96,2011,February,Friday,11 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,36,1.49,53.64,2011,February,Thursday,11 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,January,Wednesday,11 AM,Weekday
CERAMIC PLATE STRAWBERRY DESIGN,12,1.49,17.88,2011,January,Thursday,1 PM,Weekday
