Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,48,1.25,60.0,2010,December,Wednesday,9 AM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,3.75,3.75,2010,December,Monday,2 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,3.75,3.75,2010,December,Wednesday,12 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,6,3.75,22.5,2010,December,Monday,9 AM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,7.62,7.62,2010,December,Monday,9 AM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,7.62,7.62,2011,January,Wednesday,4 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,7.62,7.62,2011,January,Monday,2 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,48,1.25,60.0,2011,January,Tuesday,10 AM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,6,3.75,22.5,2011,January,Tuesday,12 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,6,3.75,22.5,2011,January,Monday,2 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,48,1.25,60.0,2011,February,Friday,2 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,7.46,7.46,2011,March,Wednesday,3 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,3.75,3.75,2011,March,Thursday,12 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,7.46,7.46,2011,March,Monday,3 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,3.75,3.75,2011,April,Friday,2 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,1,7.46,7.46,2011,April,Tuesday,11 AM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,48,0.75,36.0,2011,April,Tuesday,2 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,48,0.75,36.0,2011,April,Thursday,12 PM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,12,1.25,15.0,2011,May,Monday,11 AM,Weekday
CHARLIE & LOLA WASTEPAPER BIN FLORA,6,1.25,7.5,2011,May,Monday,1 PM,Weekday
