Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2010,December,Tuesday,12 PM,Weekday
CHILDS GARDEN TROWEL BLUE,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2010,December,Monday,4 PM,Weekday
CHILDS GARDEN TROWEL BLUE,3,0.85,2.55,2011,January,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,January,Thursday,5 PM,Weekday
CHILDS GARDEN TROWEL BLUE,2,0.85,1.7,2011,January,Monday,10 AM,Weekday
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2011,January,Wednesday,1 PM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,January,Thursday,3 PM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,January,Thursday,3 PM,Weekday
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
CHILDS GARDEN TROWEL BLUE,2,0.85,1.7,2011,January,Tuesday,1 PM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,January,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,January,Friday,1 PM,Weekday
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2011,January,Friday,2 PM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,January,Monday,1 PM,Weekday
CHILDS GARDEN TROWEL BLUE,2,0.85,1.7,2011,February,Tuesday,12 PM,Weekday
CHILDS GARDEN TROWEL BLUE,5,1.63,8.15,2011,February,Friday,1 PM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,February,Friday,2 PM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,February,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL BLUE,6,0.85,5.1,2011,February,Friday,4 PM,Weekday
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2011,February,Sunday,11 AM,Weekend
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2011,February,Sunday,12 PM,Weekend
CHILDS GARDEN TROWEL BLUE,5,0.85,4.25,2011,February,Sunday,12 PM,Weekend
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2011,February,Sunday,4 PM,Weekend
CHILDS GARDEN TROWEL BLUE,1,1.63,1.63,2011,February,Monday,12 PM,Weekday
CHILDS GARDEN TROWEL BLUE,5,0.85,4.25,2011,February,Tuesday,3 PM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,February,Wednesday,11 AM,Weekday
CHILDS GARDEN TROWEL BLUE,6,0.85,5.1,2011,February,Friday,11 AM,Weekday
CHILDS GARDEN TROWEL BLUE,20,0.85,17.0,2011,February,Sunday,12 PM,Weekend
CHILDS GARDEN TROWEL BLUE,1,0.85,0.85,2011,February,Sunday,2 PM,Weekend
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,February,Monday,8 AM,Weekday
CHILDS GARDEN TROWEL BLUE,12,0.85,10.2,2011,February,Monday,1 PM,Weekday
