Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHILDS GARDEN TROWEL PINK,1,1.66,1.66,2010,December,Monday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,1.66,1.66,2010,December,Monday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2010,December,Thursday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2010,December,Tuesday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,January,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,January,Wednesday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,January,Thursday,5 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,January,Monday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,January,Wednesday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,January,Thursday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,January,Thursday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,January,Tuesday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,January,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,January,Friday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,January,Monday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,24,0.85,20.4,2011,February,Tuesday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,February,Tuesday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,February,Tuesday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,February,Friday,2 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,February,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,February,Sunday,11 AM,Weekend
CHILDS GARDEN TROWEL PINK,5,0.85,4.25,2011,February,Sunday,12 PM,Weekend
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,February,Sunday,4 PM,Weekend
CHILDS GARDEN TROWEL PINK,1,1.63,1.63,2011,February,Monday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,5,0.85,4.25,2011,February,Tuesday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,February,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,February,Wednesday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,6,0.85,5.1,2011,February,Friday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,15,0.85,12.75,2011,February,Sunday,12 PM,Weekend
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,February,Sunday,2 PM,Weekend
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,February,Monday,8 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,February,Monday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,February,Tuesday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,February,Wednesday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,February,Monday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,March,Friday,2 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Friday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,17,0.85,14.45,2011,March,Sunday,2 PM,Weekend
CHILDS GARDEN TROWEL PINK,1,1.63,1.63,2011,March,Monday,5 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,March,Tuesday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,1.63,3.26,2011,March,Wednesday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Thursday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,March,Sunday,3 PM,Weekend
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Thursday,2 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Thursday,6 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Friday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Friday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,1.63,1.63,2011,March,Sunday,11 AM,Weekend
CHILDS GARDEN TROWEL PINK,1,1.63,1.63,2011,March,Tuesday,9 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,March,Wednesday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,4,0.85,3.4,2011,March,Thursday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,March,Friday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,March,Friday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,March,Friday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,March,Friday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,March,Friday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,March,Sunday,2 PM,Weekend
CHILDS GARDEN TROWEL PINK,5,0.85,4.25,2011,March,Sunday,2 PM,Weekend
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Monday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,March,Monday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,March,Monday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,March,Monday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,March,Tuesday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,March,Tuesday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,March,Wednesday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,March,Wednesday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Friday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Sunday,11 AM,Weekend
CHILDS GARDEN TROWEL PINK,1,1.63,1.63,2011,April,Monday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,April,Wednesday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,April,Wednesday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,April,Wednesday,2 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Wednesday,2 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,April,Thursday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Friday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Friday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Friday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,April,Sunday,11 AM,Weekend
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Sunday,11 AM,Weekend
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,April,Sunday,12 PM,Weekend
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Tuesday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,April,Wednesday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Wednesday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Thursday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Thursday,1 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Thursday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Friday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Sunday,10 AM,Weekend
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,April,Sunday,12 PM,Weekend
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Monday,2 PM,Weekday
CHILDS GARDEN TROWEL PINK,4,0.85,3.4,2011,April,Monday,2 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,April,Monday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Monday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Monday,5 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Monday,5 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Tuesday,9 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Tuesday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,6,0.85,5.1,2011,April,Tuesday,10 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Tuesday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Tuesday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Wednesday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,4,0.85,3.4,2011,April,Tuesday,11 AM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Tuesday,3 PM,Weekday
CHILDS GARDEN TROWEL PINK,2,0.85,1.7,2011,April,Tuesday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,1,1.63,1.63,2011,April,Tuesday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Wednesday,12 PM,Weekday
CHILDS GARDEN TROWEL PINK,12,0.85,10.2,2011,April,Thursday,8 AM,Weekday
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,April,Thursday,4 PM,Weekday
CHILDS GARDEN TROWEL PINK,3,0.85,2.55,2011,May,Sunday,11 AM,Weekend
CHILDS GARDEN TROWEL PINK,1,0.85,0.85,2011,May,Thursday,3 PM,Weekday
