Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHINESE DRAGON PAPER LANTERNS,144,0.42,60.48,2010,December,Thursday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2010,December,Thursday,6 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.47,8.47,2010,December,Monday,10 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2010,December,Monday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,30,0.42,12.6,2010,December,Monday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2010,December,Wednesday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,60,0.42,25.2,2010,December,Monday,3 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2010,December,Tuesday,4 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.47,8.47,2010,December,Friday,4 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,48,0.42,20.16,2010,December,Monday,11 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,600,0.25,150.0,2011,January,Thursday,3 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,January,Thursday,4 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,48,0.42,20.16,2011,January,Thursday,5 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,600,0.25,150.0,2011,January,Friday,9 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,96,0.25,24.0,2011,January,Friday,1 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,January,Sunday,1 PM,Weekend
CHINESE DRAGON PAPER LANTERNS,144,0.42,60.48,2011,January,Monday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,January,Monday,11 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,January,Tuesday,11 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,January,Wednesday,9 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.29,8.29,2011,January,Thursday,6 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,January,Sunday,1 PM,Weekend
CHINESE DRAGON PAPER LANTERNS,3,8.29,24.87,2011,January,Monday,9 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,456,0.42,191.52,2011,January,Wednesday,11 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,January,Wednesday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,January,Thursday,1 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,48,0.42,20.16,2011,February,Tuesday,11 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,2,8.29,16.58,2011,February,Friday,10 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,240,0.25,60.0,2011,February,Thursday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,February,Friday,10 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.29,8.29,2011,February,Monday,6 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.29,8.29,2011,February,Monday,6 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,February,Wednesday,5 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,February,Thursday,6 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,February,Monday,10 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,125,0.42,52.5,2011,March,Thursday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,March,Tuesday,9 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,March,Tuesday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,600,0.25,150.0,2011,March,Wednesday,11 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,March,Wednesday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.29,8.29,2011,March,Thursday,6 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,March,Monday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.29,8.29,2011,March,Tuesday,9 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,March,Friday,10 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,March,Friday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,2,8.29,16.58,2011,March,Monday,3 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,36,0.42,15.12,2011,April,Friday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,April,Tuesday,1 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,April,Thursday,7 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,0.42,0.42,2011,April,Sunday,3 PM,Weekend
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,April,Wednesday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,April,Monday,12 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,April,Monday,1 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,1,8.29,8.29,2011,April,Monday,1 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,April,Monday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,April,Tuesday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,April,Tuesday,4 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,May,Wednesday,2 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,May,Thursday,5 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,24,0.42,10.08,2011,May,Friday,8 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,48,0.42,20.16,2011,May,Sunday,4 PM,Weekend
CHINESE DRAGON PAPER LANTERNS,2,8.29,16.58,2011,May,Thursday,6 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,10,0.42,4.2,2011,May,Thursday,8 PM,Weekday
CHINESE DRAGON PAPER LANTERNS,12,0.42,5.04,2011,May,Friday,10 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,60,0.42,25.2,2011,May,Friday,11 AM,Weekday
CHINESE DRAGON PAPER LANTERNS,48,0.42,20.16,2011,May,Wednesday,1 PM,Weekday
