Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHOCOLATE CALCULATOR,12,1.65,19.8,2010,December,Wednesday,9 AM,Weekday
CHOCOLATE CALCULATOR,12,1.65,19.8,2010,December,Wednesday,11 AM,Weekday
CHOCOLATE CALCULATOR,3,3.36,10.08,2010,December,Wednesday,5 PM,Weekday
CHOCOLATE CALCULATOR,24,1.65,39.6,2010,December,Friday,11 AM,Weekday
CHOCOLATE CALCULATOR,2,3.36,6.72,2010,December,Monday,9 AM,Weekday
CHOCOLATE CALCULATOR,4,3.36,13.44,2010,December,Monday,4 PM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,2,3.36,6.72,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,2,1.65,3.3,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Tuesday,6 PM,Weekday
CHOCOLATE CALCULATOR,12,1.65,19.8,2010,December,Wednesday,12 PM,Weekday
CHOCOLATE CALCULATOR,12,1.65,19.8,2010,December,Wednesday,1 PM,Weekday
CHOCOLATE CALCULATOR,1,1.65,1.65,2010,December,Thursday,2 PM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Thursday,4 PM,Weekday
CHOCOLATE CALCULATOR,3,3.36,10.08,2010,December,Thursday,4 PM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Friday,9 AM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Friday,2 PM,Weekday
CHOCOLATE CALCULATOR,3,3.36,10.08,2010,December,Monday,9 AM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,12,1.65,19.8,2010,December,Wednesday,9 AM,Weekday
CHOCOLATE CALCULATOR,4,1.65,6.6,2010,December,Wednesday,3 PM,Weekday
CHOCOLATE CALCULATOR,1,1.65,1.65,2010,December,Thursday,12 PM,Weekday
CHOCOLATE CALCULATOR,12,1.65,19.8,2010,December,Thursday,2 PM,Weekday
CHOCOLATE CALCULATOR,12,1.65,19.8,2010,December,Thursday,2 PM,Weekday
CHOCOLATE CALCULATOR,4,3.36,13.44,2010,December,Friday,4 PM,Weekday
CHOCOLATE CALCULATOR,24,1.65,39.6,2010,December,Monday,9 AM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Monday,1 PM,Weekday
CHOCOLATE CALCULATOR,2,3.36,6.72,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,2,3.36,6.72,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,1,3.36,3.36,2010,December,Tuesday,3 PM,Weekday
CHOCOLATE CALCULATOR,2,3.36,6.72,2010,December,Tuesday,3 PM,Weekday
