Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHRISTMAS CARD SCREEN PRINT,1,0.43,0.43,2010,December,Wednesday,2 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.42,5.04,2010,December,Thursday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,10,0.43,4.3,2010,December,Monday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.43,0.86,2010,December,Thursday,2 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.43,0.86,2010,December,Friday,2 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,3,0.43,1.29,2010,December,Monday,1 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.42,0.84,2011,January,Monday,5 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.42,5.04,2011,June,Thursday,11 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.42,0.84,2011,June,Thursday,3 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.42,5.04,2011,July,Tuesday,3 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,36,0.42,15.12,2011,July,Friday,1 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.42,10.08,2011,August,Wednesday,11 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.42,5.04,2011,August,Monday,3 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.42,0.84,2011,August,Tuesday,10 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.42,5.04,2011,August,Wednesday,5 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,1,0.42,0.42,2011,September,Tuesday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,144,0.36,51.84,2011,September,Sunday,1 PM,Weekend
CHRISTMAS CARD SCREEN PRINT,1,0.42,0.42,2011,September,Wednesday,3 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,September,Tuesday,9 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,September,Wednesday,8 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,60,0.19,11.4,2011,September,Friday,10 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.19,2.28,2011,February,Sunday,3 PM,Weekend
CHRISTMAS CARD SCREEN PRINT,1,0.42,0.42,2011,February,Monday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,1,0.42,0.42,2011,February,Monday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,36,0.19,6.84,2011,February,Tuesday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,February,Tuesday,1 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,48,0.19,9.12,2011,February,Friday,11 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,February,Monday,2 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,February,Tuesday,2 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.19,2.28,2011,February,Thursday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,48,0.19,9.12,2011,February,Friday,11 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,3,0.42,1.26,2011,February,Tuesday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,February,Wednesday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,3,0.42,1.26,2011,February,Monday,5 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.19,2.28,2011,February,Thursday,1 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,February,Thursday,1 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,February,Sunday,1 PM,Weekend
CHRISTMAS CARD SCREEN PRINT,12,0.19,2.28,2011,February,Sunday,3 PM,Weekend
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,February,Monday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Tuesday,11 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Tuesday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Wednesday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,4,0.42,1.68,2011,January,Friday,3 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.19,2.28,2011,January,Sunday,12 PM,Weekend
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Monday,8 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Monday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Tuesday,12 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,4,0.42,1.68,2011,January,Friday,1 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,12,0.19,2.28,2011,January,Sunday,3 PM,Weekend
CHRISTMAS CARD SCREEN PRINT,1,0.42,0.42,2011,January,Monday,3 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.42,0.84,2011,January,Tuesday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Thursday,9 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,48,0.19,9.12,2011,January,Thursday,5 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Sunday,2 PM,Weekend
CHRISTMAS CARD SCREEN PRINT,1,0.42,0.42,2011,January,Tuesday,3 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Wednesday,11 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Wednesday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.42,0.84,2011,January,Thursday,9 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,January,Friday,10 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,36,0.19,6.84,2011,January,Sunday,11 AM,Weekend
CHRISTMAS CARD SCREEN PRINT,48,0.19,9.12,2011,January,Monday,10 AM,Weekday
CHRISTMAS CARD SCREEN PRINT,2,0.42,0.84,2011,December,Thursday,4 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.19,4.56,2011,December,Thursday,5 PM,Weekday
CHRISTMAS CARD SCREEN PRINT,24,0.42,10.08,2011,December,Friday,1 PM,Weekday
