Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHRISTMAS HANGING STAR WITH BELL,2,1.25,2.5,2010,December,Wednesday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,1.25,1.25,2010,December,Wednesday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,3,2.51,7.53,2010,December,Wednesday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,2,1.25,2.5,2010,December,Wednesday,3 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,12,1.25,15.0,2010,December,Wednesday,3 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,6,1.25,7.5,2010,December,Sunday,1 PM,Weekend
CHRISTMAS HANGING STAR WITH BELL,5,2.51,12.55,2010,December,Monday,9 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2010,December,Monday,10 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2010,December,Monday,4 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,3,2.51,7.53,2010,December,Tuesday,3 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,12,1.25,15.0,2010,December,Wednesday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2010,December,Friday,9 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,3,2.51,7.53,2010,December,Friday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,10,1.25,12.5,2010,December,Sunday,11 AM,Weekend
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,1.25,60.0,2010,December,Monday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,3,2.51,7.53,2010,December,Friday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,2,1.25,2.5,2011,January,Tuesday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.51,2.51,2011,January,Monday,9 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,4,1.25,5.0,2011,January,Wednesday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,2.46,2.46,2011,May,Tuesday,4 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,12,1.25,15.0,2011,May,Wednesday,11 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,1.25,60.0,2011,July,Tuesday,1 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,1.25,60.0,2011,July,Monday,11 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,1.25,1.25,2011,August,Wednesday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,3,1.25,3.75,2011,August,Wednesday,4 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,5,1.25,6.25,2011,September,Tuesday,1 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,9,1.25,11.25,2011,September,Thursday,5 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,10,1.25,12.5,2011,September,Sunday,3 PM,Weekend
CHRISTMAS HANGING STAR WITH BELL,5,0.39,1.95,2011,September,Tuesday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,0.39,18.72,2011,September,Tuesday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,10,0.39,3.9,2011,September,Tuesday,1 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,3,2.46,7.38,2011,September,Wednesday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,0.39,18.72,2011,September,Thursday,9 AM,Weekday
CHRISTMAS HANGING STAR WITH BELL,3,2.46,7.38,2011,September,Friday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,10,0.83,8.3,2011,September,Friday,5 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,0.39,18.72,2011,September,Sunday,12 PM,Weekend
CHRISTMAS HANGING STAR WITH BELL,24,0.39,9.36,2011,September,Sunday,1 PM,Weekend
CHRISTMAS HANGING STAR WITH BELL,48,0.39,18.72,2011,September,Sunday,3 PM,Weekend
CHRISTMAS HANGING STAR WITH BELL,12,0.39,4.68,2011,September,Tuesday,1 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,0.39,18.72,2011,September,Tuesday,2 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,27,0.83,22.41,2011,September,Tuesday,6 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,48,0.39,18.72,2011,September,Wednesday,12 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,1,0.83,0.83,2011,September,Wednesday,4 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,4,0.83,3.32,2011,September,Wednesday,4 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,4,0.83,3.32,2011,September,Wednesday,4 PM,Weekday
CHRISTMAS HANGING STAR WITH BELL,2,0.83,1.66,2011,September,Thursday,3 PM,Weekday
