Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,10,0.85,8.5,2010,December,Wednesday,1 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,2,1.66,3.32,2010,December,Wednesday,2 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,3,1.66,4.98,2010,December,Wednesday,5 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,24,0.85,20.4,2010,December,Thursday,12 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,4,1.66,6.64,2010,December,Friday,11 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,5,0.85,4.25,2010,December,Sunday,11 AM,Weekend
CHRISTMAS RETROSPOT ANGEL WOOD,24,0.85,20.4,2010,December,Sunday,2 PM,Weekend
CHRISTMAS RETROSPOT ANGEL WOOD,3,0.85,2.55,2010,December,Sunday,2 PM,Weekend
CHRISTMAS RETROSPOT ANGEL WOOD,4,1.66,6.64,2010,December,Monday,9 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,23,1.66,38.18,2010,December,Monday,10 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,17,0.85,14.45,2010,December,Monday,1 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,1.66,1.66,2010,December,Monday,4 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,3,1.66,4.98,2010,December,Tuesday,3 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,12,0.85,10.2,2010,December,Wednesday,9 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,0.85,0.85,2010,December,Wednesday,12 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,2,1.66,3.32,2010,December,Wednesday,2 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,12,0.85,10.2,2010,December,Wednesday,4 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,12,0.85,10.2,2010,December,Thursday,10 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,5,0.85,4.25,2010,December,Thursday,1 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,2,0.85,1.7,2010,December,Thursday,2 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,3,1.66,4.98,2010,December,Thursday,2 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,6,0.85,5.1,2010,December,Friday,1 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,5,0.85,4.25,2010,December,Sunday,11 AM,Weekend
CHRISTMAS RETROSPOT ANGEL WOOD,1,1.66,1.66,2010,December,Monday,9 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,1.66,1.66,2010,December,Monday,11 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,8,0.85,6.8,2010,December,Monday,1 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,2,0.85,1.7,2010,December,Wednesday,11 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,3,0.85,2.55,2010,December,Friday,1 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,4,1.66,6.64,2010,December,Friday,5 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,0.85,0.85,2010,December,Friday,5 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,5,0.85,4.25,2010,December,Monday,4 PM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,1,0.85,0.85,2010,December,Wednesday,11 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,2,1.66,3.32,2011,January,Friday,11 AM,Weekday
CHRISTMAS RETROSPOT ANGEL WOOD,2,1.66,3.32,2011,January,Monday,9 AM,Weekday
