Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,June,Thursday,9 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,August,Wednesday,8 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,August,Friday,11 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Wednesday,10 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Friday,9 AM,Weekday
CHRISTMAS TREE HANGING GOLD,19,0.83,15.77,2011,September,Monday,1 PM,Weekday
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,September,Tuesday,12 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Thursday,10 AM,Weekday
CHRISTMAS TREE HANGING GOLD,144,0.72,103.68,2011,September,Thursday,10 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Thursday,5 PM,Weekday
CHRISTMAS TREE HANGING GOLD,2,0.83,1.66,2011,September,Thursday,5 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Monday,1 PM,Weekday
CHRISTMAS TREE HANGING GOLD,6,0.83,4.98,2011,September,Tuesday,12 PM,Weekday
CHRISTMAS TREE HANGING GOLD,6,0.83,4.98,2011,September,Tuesday,1 PM,Weekday
CHRISTMAS TREE HANGING GOLD,2,1.63,3.26,2011,September,Wednesday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Friday,3 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Sunday,1 PM,Weekend
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,September,Monday,3 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,September,Thursday,1 PM,Weekday
CHRISTMAS TREE HANGING GOLD,2,0.83,1.66,2011,February,Tuesday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,1,0.83,0.83,2011,February,Tuesday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Wednesday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,2,0.83,1.66,2011,February,Sunday,11 AM,Weekend
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Monday,11 AM,Weekday
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,February,Monday,5 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Tuesday,9 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Tuesday,11 AM,Weekday
CHRISTMAS TREE HANGING GOLD,6,0.83,4.98,2011,February,Tuesday,4 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Wednesday,1 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Wednesday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Thursday,10 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Friday,11 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Friday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Monday,11 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Tuesday,12 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Wednesday,9 AM,Weekday
CHRISTMAS TREE HANGING GOLD,6,1.63,9.78,2011,February,Monday,5 PM,Weekday
CHRISTMAS TREE HANGING GOLD,4,0.83,3.32,2011,February,Tuesday,12 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,February,Sunday,2 PM,Weekend
CHRISTMAS TREE HANGING GOLD,3,1.63,4.89,2011,February,Monday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,February,Monday,2 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,January,Wednesday,10 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,January,Thursday,10 AM,Weekday
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,January,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,January,Friday,11 AM,Weekday
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,January,Tuesday,6 PM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,January,Wednesday,3 PM,Weekday
CHRISTMAS TREE HANGING GOLD,36,0.83,29.88,2011,January,Thursday,8 AM,Weekday
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,January,Thursday,12 PM,Weekday
CHRISTMAS TREE HANGING GOLD,8,0.83,6.64,2011,January,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING GOLD,1,1.63,1.63,2011,January,Friday,9 AM,Weekday
CHRISTMAS TREE HANGING GOLD,12,0.83,9.96,2011,January,Friday,9 AM,Weekday
