Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,June,Thursday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,4,1.63,6.52,2011,June,Monday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,July,Friday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,August,Tuesday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,August,Tuesday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,August,Friday,11 AM,Weekday
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,August,Tuesday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,August,Tuesday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,48,0.83,39.84,2011,September,Thursday,11 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Thursday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Monday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Wednesday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Thursday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Monday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,6,0.83,4.98,2011,September,Tuesday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,3,1.63,4.89,2011,September,Wednesday,2 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Friday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,24,0.83,19.92,2011,September,Monday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,5,1.63,8.15,2011,September,Monday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Thursday,8 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Thursday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,September,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,September,Friday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,24,0.83,19.92,2011,September,Friday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,February,Monday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Monday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Wednesday,2 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Tuesday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Tuesday,11 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Wednesday,8 AM,Weekday
CHRISTMAS TREE HANGING SILVER,48,0.83,39.84,2011,February,Wednesday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Wednesday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Friday,11 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Monday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,February,Monday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,24,0.72,17.28,2011,February,Tuesday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Wednesday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Wednesday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,February,Friday,2 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,February,Monday,5 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,0.83,1.66,2011,February,Monday,11 AM,Weekday
CHRISTMAS TREE HANGING SILVER,3,1.63,4.89,2011,February,Monday,2 PM,Weekday
CHRISTMAS TREE HANGING SILVER,8,1.63,13.04,2011,February,Monday,2 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Tuesday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Thursday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,January,Friday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Wednesday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Friday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,1,0.83,0.83,2011,January,Sunday,1 PM,Weekend
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Monday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,10,0.83,8.3,2011,January,Monday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,4,1.63,6.52,2011,January,Monday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,January,Monday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,January,Tuesday,4 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,0.83,0.83,2011,January,Wednesday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,0.83,0.83,2011,January,Wednesday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,0.83,0.83,2011,January,Wednesday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,January,Wednesday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,8,0.83,6.64,2011,January,Thursday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,7,0.83,5.81,2011,January,Thursday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,January,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,0.83,0.83,2011,January,Friday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,2,0.83,1.66,2011,January,Sunday,12 PM,Weekend
CHRISTMAS TREE HANGING SILVER,4,0.83,3.32,2011,January,Sunday,4 PM,Weekend
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,January,Monday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Tuesday,10 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Tuesday,2 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,January,Tuesday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Wednesday,11 AM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,January,Wednesday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,43,1.63,70.09,2011,January,Wednesday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,8,0.83,6.64,2011,January,Wednesday,5 PM,Weekday
CHRISTMAS TREE HANGING SILVER,1,1.63,1.63,2011,January,Thursday,9 AM,Weekday
CHRISTMAS TREE HANGING SILVER,1,0.83,0.83,2011,January,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,4,0.83,3.32,2011,January,Thursday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,6,1.63,9.78,2011,January,Monday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,4,0.83,3.32,2011,January,Tuesday,5 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,January,Wednesday,3 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,December,Thursday,4 PM,Weekday
CHRISTMAS TREE HANGING SILVER,12,0.83,9.96,2011,December,Thursday,4 PM,Weekday
CHRISTMAS TREE HANGING SILVER,7,0.83,5.81,2011,December,Thursday,7 PM,Weekday
CHRISTMAS TREE HANGING SILVER,3,0.83,2.49,2011,December,Friday,12 PM,Weekday
CHRISTMAS TREE HANGING SILVER,15,0.83,12.45,2011,December,Sunday,2 PM,Weekend
CHRISTMAS TREE HANGING SILVER,4,1.63,6.52,2011,December,Monday,5 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,December,Monday,5 PM,Weekday
CHRISTMAS TREE HANGING SILVER,5,0.83,4.15,2011,December,Tuesday,2 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,1.63,3.26,2011,December,Tuesday,4 PM,Weekday
CHRISTMAS TREE HANGING SILVER,2,0.83,1.66,2011,December,Thursday,1 PM,Weekday
CHRISTMAS TREE HANGING SILVER,3,1.63,4.89,2011,December,Thursday,4 PM,Weekday
