Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CHRYSANTHEMUM NOTEBOOK,2,1.65,3.3,2010,December,Wednesday,12 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,3.36,3.36,2010,December,Tuesday,6 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,3.36,3.36,2010,December,Thursday,2 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,3,1.65,4.95,2010,December,Thursday,2 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,2,1.65,3.3,2010,December,Thursday,8 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2010,December,Tuesday,11 AM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,January,Sunday,12 PM,Weekend
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,January,Thursday,5 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,2,1.65,3.3,2011,February,Tuesday,2 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,6,1.65,9.9,2011,February,Monday,3 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,February,Wednesday,2 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,3.29,3.29,2011,March,Tuesday,9 AM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,March,Tuesday,3 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,April,Wednesday,2 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,2,1.65,3.3,2011,April,Tuesday,1 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,6,1.65,9.9,2011,April,Thursday,10 AM,Weekday
CHRYSANTHEMUM NOTEBOOK,6,1.65,9.9,2011,May,Thursday,12 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,May,Sunday,12 PM,Weekend
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,July,Sunday,1 PM,Weekend
CHRYSANTHEMUM NOTEBOOK,4,1.65,6.6,2011,August,Monday,1 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,August,Tuesday,11 AM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,August,Tuesday,12 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,2,1.63,3.26,2011,August,Wednesday,3 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,2,1.63,3.26,2011,September,Friday,9 AM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,September,Friday,1 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Friday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Wednesday,12 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Wednesday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Friday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Tuesday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Tuesday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,3,1.63,4.89,2011,September,Thursday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Thursday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Wednesday,3 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Wednesday,3 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,September,Wednesday,3 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,September,Wednesday,3 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,February,Tuesday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,2,1.65,3.3,2011,February,Thursday,2 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,February,Thursday,2 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,6,1.65,9.9,2011,February,Tuesday,11 AM,Weekday
CHRYSANTHEMUM NOTEBOOK,3,1.63,4.89,2011,February,Tuesday,4 PM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.65,1.65,2011,February,Friday,11 AM,Weekday
CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,2011,February,Monday,3 PM,Weekday
