Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CLASSIC BICYCLE CLIPS,12,1.45,17.4,2011,January,Friday,10 AM,Weekday
CLASSIC BICYCLE CLIPS,6,1.45,8.7,2011,January,Friday,2 PM,Weekday
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,10 AM,Weekend
CLASSIC BICYCLE CLIPS,12,1.45,17.4,2011,January,Sunday,11 AM,Weekend
CLASSIC BICYCLE CLIPS,6,1.45,8.7,2011,January,Sunday,11 AM,Weekend
CLASSIC BICYCLE CLIPS,2,1.45,2.9,2011,January,Sunday,12 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,12 PM,Weekend
CLASSIC BICYCLE CLIPS,5,1.45,7.25,2011,January,Sunday,12 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,12 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,12 PM,Weekend
CLASSIC BICYCLE CLIPS,12,1.45,17.4,2011,January,Sunday,2 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,2 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,2 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,3 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,3 PM,Weekend
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Sunday,4 PM,Weekend
CLASSIC BICYCLE CLIPS,24,1.45,34.8,2011,January,Monday,9 AM,Weekday
CLASSIC BICYCLE CLIPS,36,1.45,52.2,2011,January,Monday,9 AM,Weekday
CLASSIC BICYCLE CLIPS,72,1.25,90.0,2011,January,Monday,10 AM,Weekday
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Monday,10 AM,Weekday
CLASSIC BICYCLE CLIPS,12,1.45,17.4,2011,January,Monday,11 AM,Weekday
CLASSIC BICYCLE CLIPS,3,1.45,4.35,2011,January,Monday,11 AM,Weekday
CLASSIC BICYCLE CLIPS,12,1.45,17.4,2011,January,Monday,1 PM,Weekday
CLASSIC BICYCLE CLIPS,72,1.25,90.0,2011,January,Monday,1 PM,Weekday
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Monday,3 PM,Weekday
CLASSIC BICYCLE CLIPS,4,1.45,5.8,2011,January,Monday,3 PM,Weekday
CLASSIC BICYCLE CLIPS,1,1.45,1.45,2011,January,Monday,5 PM,Weekday
CLASSIC BICYCLE CLIPS,12,1.45,17.4,2011,January,Tuesday,9 AM,Weekday
