Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,1,6.75,6.75,2010,December,Sunday,1 PM,Weekend
CLASSIC FRENCH STYLE BASKET BROWN,1,6.75,6.75,2011,January,Thursday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,3,6.75,20.25,2011,February,Wednesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,2,6.75,13.5,2011,February,Wednesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,16,5.95,95.2,2011,March,Sunday,11 AM,Weekend
CLASSIC FRENCH STYLE BASKET BROWN,2,6.75,13.5,2011,March,Tuesday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,2,3.95,7.9,2011,April,Friday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,1,3.95,3.95,2011,April,Tuesday,5 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,8,3.95,31.6,2011,May,Tuesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,8,3.95,31.6,2011,May,Wednesday,11 AM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,5,3.95,19.75,2011,May,Friday,5 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,1,3.95,3.95,2011,May,Friday,7 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,1,3.95,3.95,2011,May,Friday,7 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,1,3.95,3.95,2011,May,Friday,7 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,1,3.95,3.95,2011,May,Friday,7 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,1,3.95,3.95,2011,May,Friday,7 PM,Weekday
CLASSIC FRENCH STYLE BASKET BROWN,2,3.95,7.9,2011,May,Sunday,11 AM,Weekend
