Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,13.57,13.57,2010,December,Tuesday,6 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,3,6.75,20.25,2010,December,Wednesday,3 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,6.75,6.75,2011,January,Wednesday,3 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,6.75,6.75,2011,January,Thursday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,13.29,13.29,2011,January,Friday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,6.75,6.75,2011,January,Tuesday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,6.75,6.75,2011,January,Monday,3 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,13.29,13.29,2011,February,Tuesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,6.75,13.5,2011,February,Wednesday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,6.75,6.75,2011,February,Monday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,6.75,54.0,2011,February,Monday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,3,6.75,20.25,2011,March,Tuesday,4 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,4,6.75,27.0,2011,March,Monday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,6.75,6.75,2011,March,Friday,11 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,6.75,13.5,2011,March,Monday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,6.75,13.5,2011,March,Tuesday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,6.75,6.75,2011,April,Sunday,1 PM,Weekend
CLASSIC FRENCH STYLE BASKET GREEN,2,3.95,7.9,2011,April,Friday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,6.75,13.5,2011,April,Friday,11 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,6.75,13.5,2011,April,Monday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,April,Thursday,9 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,6.75,13.5,2011,April,Tuesday,11 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,April,Thursday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,3.95,3.95,2011,May,Sunday,11 AM,Weekend
CLASSIC FRENCH STYLE BASKET GREEN,24,3.95,94.8,2011,May,Tuesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,24,3.95,94.8,2011,May,Tuesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,May,Tuesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,7.46,7.46,2011,May,Tuesday,4 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,3.95,7.9,2011,May,Wednesday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,6,3.95,23.7,2011,May,Friday,5 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,3.95,3.95,2011,May,Friday,7 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,3.95,3.95,2011,May,Tuesday,10 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,3.95,3.95,2011,May,Tuesday,11 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,May,Tuesday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,3.95,7.9,2011,May,Wednesday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,May,Wednesday,3 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,3,3.95,11.85,2011,May,Thursday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,3.95,3.95,2011,May,Thursday,4 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,4,3.95,15.8,2011,May,Thursday,6 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,4,3.95,15.8,2011,May,Sunday,12 PM,Weekend
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,May,Monday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,3.95,7.9,2011,May,Tuesday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,4,3.95,15.8,2011,May,Wednesday,3 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,4,3.95,15.8,2011,May,Thursday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,May,Thursday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,May,Friday,8 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,3,3.95,11.85,2011,May,Sunday,1 PM,Weekend
CLASSIC FRENCH STYLE BASKET GREEN,3,3.95,11.85,2011,May,Monday,4 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,16,3.95,63.2,2011,May,Friday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,3,3.95,11.85,2011,June,Wednesday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,June,Friday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,3.95,7.9,2011,June,Sunday,3 PM,Weekend
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,June,Monday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,6,3.95,23.7,2011,June,Monday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,10,3.95,39.5,2011,June,Monday,3 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,June,Tuesday,12 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,16,3.95,63.2,2011,June,Wednesday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,June,Wednesday,2 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,June,Thursday,7 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,2,3.95,7.9,2011,June,Wednesday,1 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,7.46,7.46,2011,June,Wednesday,3 PM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,1,3.95,3.95,2011,June,Tuesday,9 AM,Weekday
CLASSIC FRENCH STYLE BASKET GREEN,8,3.95,31.6,2011,June,Wednesday,1 PM,Weekday
